CNTYVTD,LozanoR_18G_State Rep 43,MillerD_18G_State Rep 43
"0250001",618,364
"0250002",151,15
"0250003",439,272
"0250004",140,33
"0250005",123,44
"0250006",394,203
"0250008",94,26
"0250009",116,217
"0250010",248,271
"0250011",97,39
"0250012",126,45
"0250013",454,202
"0250014",86,51
"0250016",325,183
"0250017",284,224
"0250018",737,217
"0250019",83,143
"2490001",75,102
"2490002",185,60
"2490003",495,141
"2490004",343,207
"2490005",45,69
"2490006",193,226
"2490007",765,419
"2490008",1002,287
"2490009",106,123
"2490010",253,524
"2490011",160,151
"2490012",350,422
"2490013",66,112
"2490014",70,37
"2490015",319,301
"2490016",101,202
"2490017",325,345
"2490018",80,75
"2490019",129,26
"2490020",83,199
"2490022",204,395
"2730011",590,301
"2730012",458,206
"2730013",357,352
"2730014",127,94
"2730021",59,75
"2730022",272,205
"2730023",261,273
"2730024",322,249
"2730031",494,201
"2730032",296,220
"2730033",274,113
"2730034",221,94
"2730035",377,173
"2730041",75,124
"2730042",126,203
"2730043",360,330
"2730044",104,127
"2730045",116,209
"4090101",117,103
"4090102",599,520
"4090103",168,25
"4090104",408,222
"4090105",196,444
"4090106",425,210
"4090107",90,42
"4090108",1470,508
"4090109",968,336
"4090110",465,308
"4090111",21,3
"4090112",75,331
"4090113",139,271
"4090114",660,203
"4090115",1325,390
"4090116",1736,452
"4090117",162,60
"4090118",345,520
"4090119",470,177
"4090120",295,86
"4090121",641,272
"4090122",272,113
"4090123",31,21
"4090124",642,707
"4090125",17,9
