CNTYVTD,KuempelR_18G_State Rep 44,RodgersD_18G_State Rep 44
"1870101",292,71
"1870102A",435,147
"1870102B",7,2
"1870103",352,96
"1870104",319,185
"1870105",1183,310
"1870106",1411,461
"1870107",566,122
"1870108",273,148
"1870109",260,47
"1870110",90,59
"1870111",36,26
"1870112",70,136
"1870113",398,176
"1870114",294,148
"1870115",153,21
"1870116",1024,288
"1870117",1806,671
"1870118",26,17
"1870119",857,228
"1870120",578,130
"1870121",70,20
"1870122",21,5
"1870123",0,0
"1870124",2,0
"1870125",89,17
"1870126",12,2
"1870127",10,5
"1870201",128,77
"1870202",160,282
"1870203",59,114
"1870204",290,321
"1870205",498,152
"1870206",368,575
"1870207",181,217
"1870208",1480,373
"1870209",107,206
"1870210",296,174
"1870211",46,32
"1870212",42,43
"1870213",847,350
"1870214",283,78
"1870215",386,135
"1870216",30,6
"1870217",34,31
"1870218",17,20
"1870219",32,17
"1870220",26,16
"1870221",11,5
"1870222",0,0
"1870223",85,71
"1870224",13,45
"1870225",4,6
"1870226",104,53
"1870301",1025,674
"1870302",1273,991
"1870303",538,259
"1870304",1438,857
"1870305",1371,965
"1870306",1493,881
"1870307",1459,1029
"1870308",831,417
"1870401",666,189
"1870402",538,356
"1870403",791,490
"1870404",955,650
"1870405",906,184
"1870406",1042,156
"1870407",886,176
"1870408",1598,683
"1870409",1239,1339
"1870410",57,25
"1870411",1215,730
"4930101",819,477
"4930102",403,573
"4930103",588,324
"4930104",417,136
"4930205",751,255
"4930206",813,465
"4930207",876,319
"4930208",320,39
"4930209",266,24
"4930310",352,50
"4930311",969,152
"4930312",1284,192
"4930313",1237,298
"4930414",1088,196
"4930415",1876,363
"4930416",1163,402
