CNTYVTD,StrangeR_18G_State Rep 45,ZwienerD_18G_State Rep 45
"0310102",1067,320
"0310201",1119,354
"0310302",541,255
"0310303",295,73
"0310304",135,57
"0310401",1120,402
"2090110",460,594
"2090111",52,146
"2090112",256,853
"2090113",549,1670
"2090120",540,2224
"2090125",501,904
"2090127",1219,1695
"2090129",916,1729
"2090221",1251,1476
"2090223",504,776
"2090224",2297,2189
"2090225",645,383
"2090226",1004,874
"2090228",1677,2940
"2090229",256,554
"2090230",469,408
"2090232",827,478
"2090234",194,290
"2090236",529,309
"2090238",13,17
"2090301",0,0
"2090315",1305,900
"2090316",398,460
"2090317",55,204
"2090318",20,47
"2090330",267,739
"2090332",645,1567
"2090333",1795,1067
"2090334",365,1496
"2090335",1519,786
"2090336",954,1651
"2090337",2308,1210
"2090339",571,233
"2090413",95,522
"2090414",144,639
"2090415",232,1005
"2090416",18,29
"2090417",517,550
"2090418",1,1
"2090419",539,547
"2090420",295,255
"2090421A",15,10
"2090421B",7,4
"2090440",875,544
"2090441A",1257,778
"2090441B",2,1
"2090442",948,979
"2090443",2194,1634
"2090444",2495,1739
"2090447",656,681
"2090449",1600,956
