CNTYVTD,NilaR_18G_State Rep 46,ColeD_18G_State Rep 46,LudlowL_18G_State Rep 46
"4530105",1156,3935,161
"4530113",897,3168,126
"4530116",0,0,0
"4530117",139,1495,37
"4530118",30,324,11
"4530120",34,52,2
"4530121",51,553,15
"4530122",86,1690,35
"4530124",230,3059,112
"4530125",0,0,0
"4530126",207,3384,97
"4530127",0,1,0
"4530129",91,1572,37
"4530130",113,1225,45
"4530131",0,1,0
"4530132",129,1693,39
"4530133",160,1439,56
"4530134",0,0,0
"4530135",622,4889,168
"4530136",750,1171,66
"4530139",287,1627,69
"4530141",50,235,3
"4530142",56,665,25
"4530145",425,1159,42
"4530146",693,1166,53
"4530148",718,1873,80
"4530151",158,1441,38
"4530152",141,2700,55
"4530156",424,3250,102
"4530160",377,824,38
"4530203",162,484,14
"4530217",248,1128,59
"4530223",60,289,12
"4530224",12,82,5
"4530436",13,214,4
"4530444",6,105,2
