CNTYVTD,WorkmanR_18G_State Rep 47,GoodwinD_18G_State Rep 47
"4530232",2650,2214
"4530233",1210,1539
"4530234",911,773
"4530244",1257,1518
"4530245",379,440
"4530302",1003,1613
"4530303",966,1308
"4530304",1109,1973
"4530306",1482,989
"4530308",3047,1741
"4530310",1179,2612
"4530312",826,718
"4530314",2016,2021
"4530315",1039,1974
"4530316",1647,1452
"4530318",237,408
"4530319",1062,730
"4530320",908,619
"4530324",2465,2028
"4530330",1112,1108
"4530333",767,1312
"4530334",949,1167
"4530336",594,1004
"4530338",1525,2256
"4530346",2496,1323
"4530349",1155,2525
"4530359",1832,1871
"4530360",882,2162
"4530361",406,551
"4530365",703,1059
"4530367",1691,2989
"4530368",188,117
"4530369",1843,1309
"4530370",575,403
"4530371",1244,749
"4530372",714,544
"4530373",2444,1280
"4530374",2206,2157
"4530375",384,284
"4530406",893,1330
"4530417",248,1137
