CNTYVTD,HowardD_18G_State Rep 48
"4530210",979
"4530212",1842
"4530213",0
"4530220",995
"4530221",442
"4530231",1585
"4530237",1253
"4530238",1703
"4530246",1061
"4530247",402
"4530249",1723
"4530251",1901
"4530253",1607
"4530256",1055
"4530262",2678
"4530266",257
"4530301",733
"4530307",748
"4530309",1386
"4530317",1414
"4530337",2131
"4530339",1013
"4530343",1209
"4530344",1092
"4530347",1361
"4530350",2370
"4530351",941
"4530352",2028
"4530354",2289
"4530356",1160
"4530357",318
"4530358",2674
"4530362",1618
"4530363",828
"4530364",1846
"4530366",2599
"4530408",1870
"4530411",1183
"4530412",69
"4530413",930
"4530414",2078
"4530415",707
"4530416",267
"4530418",1
"4530419",262
"4530435",3206
"4530447",2216
"4530451",1823
"4530458",2121
"4530463",1978
