CNTYVTD,AustinR_18G_State Rep 49,HinojosaD_18G_State Rep 49
"4530149",122,1269
"4530200",423,3671
"4530202",314,2321
"4530206",205,1014
"4530208",644,3988
"4530209",100,493
"4530214",670,1354
"4530218",851,3147
"4530222",370,1422
"4530228",417,1008
"4530235",299,2171
"4530236",348,2167
"4530239",352,1609
"4530240",200,613
"4530241",223,1360
"4530242",632,3993
"4530243",320,1190
"4530248",318,1508
"4530250",762,3154
"4530252",437,1579
"4530258",488,1274
"4530260",121,592
"4530267",305,771
"4530268",167,631
"4530273",430,1927
"4530274",227,1918
"4530275",228,2447
"4530277",1078,4343
"4530305",5,5
"4530311",598,3406
"4530313",38,310
"4530323",257,1103
"4530325",24,66
"4530329",926,2291
"4530332",240,1942
"4530340",480,2151
"4530342",541,3129
"4530345",0,0
"4530409",179,1330
"4530425",88,394
"4530430",81,887
"4530446",103,645
"4530454",288,1142
"4530460",355,2024
"4530461",482,3092
