CNTYVTD,HefnerR_18G_State Rep 5,LiebbeD_18G_State Rep 5
"0631001",689,256
"0632002",948,223
"0633003",437,362
"0634004",740,224
"3430101",75,212
"3430102",78,127
"3430103",242,130
"3430202",476,119
"3430203",357,132
"3430302",368,148
"3430303",518,105
"3430401",794,280
"3790101",624,62
"3790102",314,73
"3790203",742,93
"3790204",307,41
"3790305",447,77
"3790306",421,134
"3790407",470,78
"3790408",393,74
"4230004",373,337
"4230005",2068,339
"4230006",376,91
"4230007",815,233
"4230008",590,181
"4230010",701,779
"4230014",561,322
"4230015",2581,397
"4230017",473,55
"4230019",2301,411
"4230026",1216,251
"4230029",821,212
"4230045",707,74
"4230046",404,168
"4230047",139,64
"4230052",1036,181
"4490001",49,189
"4490002",206,96
"4490003",286,64
"4490004",307,52
"4490005",144,13
"4490006",598,84
"4490007",477,99
"4490008",189,232
"4490009",162,54
"4490010",459,49
"4490011",69,21
"4490012",144,20
"4490014",466,316
"4490015",336,57
"4490016",989,241
"4490017",65,138
"4490018",85,13
"4490019",247,114
"4490020",550,189
"49901-1",1312,258
"49901-2",1323,199
"49901-3",1026,156
"49901-4",352,29
"49902-1",211,20
"49902-2",1673,320
"49902-3",1346,299
"49903-1",570,97
"49903-2",1726,290
"49903-3",1436,349
"49904-1",406,53
"49904-2",1187,189
"49904-3",1297,238
"49904-4",297,25
