CNTYVTD,IsraelD_18G_State Rep 50
"4530102",583
"4530103",743
"4530104",587
"4530106",1372
"4530107",121
"4530108",850
"4530109",1149
"4530110",3179
"4530111",2241
"4530112",745
"4530123",2794
"4530128",0
"4530137",4444
"4530140",987
"4530150",858
"4530153",2699
"4530154",1814
"4530161",777
"4530163",111
"4530164",868
"4530205",1442
"4530207",2572
"4530211",973
"4530215",1158
"4530216",1061
"4530219",1389
"4530225",2050
"4530226",1101
"4530227",383
"4530229",1039
"4530254",1665
"4530259",1603
"4530263",1713
"4530321",391
"4530326",1124
"4530327",1479
"4530328",2059
"4530331",1371
"4530335",1157
