CNTYVTD,RodriguezD_18G_State Rep 51
"4530101",3124
"4530114",111
"4530115",0
"4530119",0
"4530138",0
"4530341",188
"4530401",1210
"4530402",1512
"4530403",548
"4530404",2178
"4530405",472
"4530407",1424
"4530410",1934
"4530420",1700
"4530421",1774
"4530422",1478
"4530423",1805
"4530424",1618
"4530426",1754
"4530427",1498
"4530428",871
"4530429",4749
"4530431",3439
"4530432",1
"4530433",1967
"4530434",1
"4530437",1560
"4530438",876
"4530439",2299
"4530440",761
"4530441",2315
"4530442",916
"4530443",1686
"4530448",1334
"4530450",2147
"4530452",1032
