CNTYVTD,FloresR_18G_State Rep 52,TalaricoD_18G_State Rep 52
"4910119",1093,1102
"4910122",963,919
"4910135",578,1174
"4910138",1358,1242
"4910145",541,993
"4910149",503,799
"4910150",501,842
"4910172",786,736
"4910182",1619,1159
"4910332",1552,1091
"4910333A",1240,1146
"4910333B",8,7
"4910337",1538,1450
"4910339",678,981
"4910368",1056,1121
"4910369",1601,1273
"4910402",1407,1699
"4910403",697,758
"4910413",231,116
"4910420",1898,1928
"4910423",853,1151
"4910424",1609,1029
"4910426",671,531
"4910427",864,629
"4910428",1046,674
"4910429",302,505
"4910455",489,899
"4910456",371,455
"4910463",1093,1931
"4910480",1187,1879
"4910484",1608,1832
"4910488",965,857
"4910489",1482,1538
"4910490",606,589
"4910491",1346,1763
