CNTYVTD,MurrR_18G_State Rep 53,ErtelD_18G_State Rep 53
"0190101",828,185
"0190102",1299,282
"0190203",959,302
"0190204",720,220
"0190305",1179,221
"0190306",791,129
"0190407",1179,232
"0190408",139,50
"0190409",324,102
"0190410",294,53
"1050001",218,83
"1050002",241,61
"1050003",281,55
"1050004",215,78
"1370001",70,22
"1370002",241,25
"1370003",190,28
"1370004",111,36
"2650101",1446,348
"2650107",498,103
"2650109",740,165
"2650113",819,273
"2650118",178,60
"2650119",944,371
"2650202",1146,221
"2650211",472,158
"2650215",1491,346
"2650220",1529,307
"2650303",550,116
"2650308",254,83
"2650312",1532,630
"2650314",582,410
"2650404",558,73
"2650405",919,259
"2650406",1551,358
"2650410",165,15
"2650416",863,203
"2650417",856,236
"2670001",385,35
"2670002",176,16
"2670003",151,6
"2670004",191,16
"2670006",178,14
"2670007",213,19
"2670009",266,34
"2990101",172,44
"2990102",321,70
"2990108",485,154
"2990109",1952,407
"2990203",1079,239
"2990204",434,126
"2990205",338,92
"2990307",1393,382
"2990410",1916,391
"3190101",390,87
"3190210",280,82
"3190302",495,92
"3190405",427,86
"325001A",762,129
"325001B",836,143
"325001C",1144,441
"325001D",1087,295
"325002A",746,375
"325002B",1445,367
"325002C",1548,518
"325003A",441,142
"325003B",250,54
"325003C",784,365
"325003D",310,582
"325004A",673,184
"325004B",1216,478
"325004C",377,326
"3270001",110,44
"3270002",153,23
"3270003",175,31
"3270004",116,20
"3270005",39,3
"3270006",60,6
"3850001",363,64
"3850002",405,53
"3850003",186,50
"3850004",137,21
"3850006",167,25
"3850007",43,4
"4130001",225,59
"4130002",196,41
"4130003",52,36
"4130004",281,42
"4350101",154,75
"4350201",277,31
"4350301",373,67
"4350401",154,64
