CNTYVTD,AndersonR_18G_State Rep 56,Turner-PearsonD_18G_State Rep 56
"3090001",55,107
"3090003",407,736
"3090004",35,47
"3090007",215,416
"3090008",204,363
"3090011",920,474
"3090016",224,99
"3090019",1250,591
"3090023",1646,596
"3090025",239,431
"3090026",97,199
"3090028",343,313
"3090029",186,215
"3090030",550,507
"3090031",668,548
"3090032",406,182
"3090033",616,373
"3090034",549,331
"3090035",145,262
"3090036",443,254
"3090037",220,283
"3090038",120,185
"3090039",84,238
"3090040",665,509
"3090041",502,388
"3090042",158,338
"3090044",1936,736
"3090045",113,135
"3090046",35,75
"3090047",101,144
"3090048",64,114
"3090049",104,114
"3090050",257,371
"3090051",1613,942
"3090052",413,232
"3090053",86,75
"3090054",234,114
"3090055",569,121
"3090056",137,229
"3090058",778,583
"3090059",1657,508
"3090060",1823,885
"3090061",1349,625
"3090062",1862,1068
"3090063",2004,662
"3090073",489,95
"3090074",373,73
"3090075",1567,377
"3090076",973,236
"3090077",726,141
"3090078",1493,528
"3090079",465,238
"3090080",1219,165
"3090081",1960,400
"3090082",1363,323
"3090083",273,64
"3090085",0,0
"3090091",910,355
