CNTYVTD,AshbyR_18G_State Rep 57,RogersD_18G_State Rep 57
"0050001",147,73
"0050002",286,714
"0050003",775,148
"0050004",370,251
"0050005",544,363
"0050006",215,26
"0050007",663,57
"0050008A",416,39
"0050008B",270,25
"0050009",159,35
"0050010A",246,180
"0050010B",30,21
"0050011",1116,84
"0050012",403,71
"0050013",202,132
"0050014",827,245
"0050015",306,50
"0050016",464,443
"0050017",843,98
"0050018",253,80
"0050019",727,204
"0050020",163,885
"0050021",530,137
"0050022",535,78
"0050023",312,37
"0050024",1006,236
"0050025",999,181
"0050026",902,93
"0050027",199,21
"0050028",570,98
"0050029",708,115
"0050030",515,40
"0050031",153,48
"0050032",53,6
"0050033",687,45
"0050034",1049,216
"0050035",884,181
"0050036",0,0
"0050037",228,43
"0050038",173,34
"0050039",198,75
"0050040",305,135
"005011B",476,86
"005017B",180,12
"2250001",399,193
"2250002",582,211
"2250003",255,401
"2250004",741,217
"2250005",546,89
"2250006",445,142
"2250007",498,52
"2250008",204,33
"2250009",251,16
"2250010",152,31
"2250011",73,15
"2250012",75,11
"2250014",240,25
"2250015",130,30
"2250016",159,8
"2250017",172,10
"2250018",62,32
"2250019",281,67
"2250020",132,8
"2250021",158,39
"2250022",130,32
"2890001",735,107
"2890002",206,20
"2890003",323,37
"2890004",447,68
"2890005",303,41
"2890006",702,64
"2890007",326,26
"2890008",484,83
"2890009",175,15
"2890010",519,48
"2890011",405,74
"2890012",349,111
"2890013",423,30
"2890014",109,19
"289001A",117,11
"289005A",31,1
"289014A",102,20
"3130101",701,169
"3130202",810,195
"3130303",545,260
"3130404",1041,95
"4050001",448,208
"4050002",115,80
"4050003",96,36
"4050004",157,58
"4050005",167,24
"4050006",149,24
"4050007",163,34
"4050008",336,27
"4050009",454,51
"4050010",197,18
"4050011",8,153
"4550001",285,57
"4550002",334,41
"4550003",191,38
"4550004",124,18
"4550005",96,25
"4550006",120,13
"4550007",132,13
"4550008",214,26
"4550009",312,39
"4550010",142,23
"4550011",702,152
"4550012",55,8
"4550014",267,49
"4550015",54,7
"4550016",180,51
"4550017",265,159
"4550018",41,43
"4550019",554,104
"4550020",29,12
"4550021",146,24
