CNTYVTD,BurnsR_18G_State Rep 58
"0350001",381
"0350002",377
"0350003",532
"0350004",268
"0350005",741
"0350006",616
"0350007",379
"0350008",1163
"0350009",476
"0350010",663
"0350011",456
"2510001",447
"2510002",2182
"2510003",1919
"2510004",2829
"2510005",1959
"2510006",271
"2510007",3146
"2510008",2401
"2510009",555
"2510010",1423
"2510011",1967
"2510012",1404
"2510013",944
"2510014",246
"2510015",802
"2510016",302
"2510017",1203
"2510018",1638
"2510019",2919
"2510020",335
"2510021",794
"2510022",1585
"2510023",1063
"2510024",624
"2510025",574
"2510026",721
"2510027",1151
"2510028",907
"2510029",509
"2510030",569
"2510031",616
"2510032",1423
"2510033",548
"2510034",928
"2510035",1981
"2510036",318
