CNTYVTD,SheffieldR_18G_State Rep 59
"0930001",710
"0930002",683
"0930004",48
"0930005",310
"0930006",217
"0930007",148
"0930009",100
"0930010",195
"0930011",257
"0930012",863
"0930013",117
"0930014",63
"0930015",236
"0930016",61
"0990101",1794
"0990102",673
"0990103",159
"0990104",1426
"0990205",1168
"0990206",454
"0990207",1193
"0990308",1722
"0990309",309
"0990310",215
"0990311",39
"0990412",1067
"0990413",1024
"0990414",224
"0990415",124
"0990416",701
"1430010",431
"1430011",168
"1430012",663
"1430018",989
"1430019",672
"1430020",595
"1430021",633
"1430023",231
"1430024",434
"1430025",399
"1430030",357
"1430031",653
"1430032",744
"1430033",351
"1430034",633
"1430035",51
"1430041",414
"1430044",1094
"1430045",725
"1430046",312
"1430047",516
"1930001",462
"1930004",63
"1930005",76
"1930007",704
"1930009",117
"1930012",119
"1930014",108
"1930015",94
"1930017",86
"1930022",605
"1930023",463
"3070101",688
"3070102",77
"3070201A",245
"3070201B",2
"3070202",98
"3070301",530
"3070302",137
"3070401",289
"3070402",201
"3070403",90
"3330001",490
"3330002",253
"3330003",187
"3330006",149
"3330008",322
"3330009",327
"3330011",102
"4110001",473
"411002A",330
"411002B",158
"411003A",242
"411003B",171
"411004A",414
"411004B",63
"4250001",642
"4250002",935
"4250003",792
"4250004",783
