CNTYVTD,SchaeferR_18G_State Rep 6,KatzL_18G_State Rep 6
"4230001",56,35
"4230002",73,82
"4230003",976,403
"4230009",44,40
"4230011",130,207
"4230012",118,207
"4230013",37,187
"4230016",82,189
"4230018",64,148
"4230020",114,78
"4230021",634,268
"4230022",133,55
"4230023",846,329
"4230025",897,309
"4230027",602,250
"4230028",1741,255
"4230030",2106,347
"4230031",1819,299
"4230032",1163,219
"4230034",181,198
"4230035",507,373
"4230036",264,364
"4230037",903,181
"4230038",767,358
"4230039",116,71
"4230040",2459,433
"4230041",1740,289
"4230042",1923,303
"4230043",333,212
"4230044",1196,378
"4230048",123,34
"4230049",45,23
"4230050",1001,413
"4230054",1282,442
"4230055",1605,582
"4230056",1404,511
"4230058",1399,419
"4230059",1492,472
"4230060",95,59
"4230061",571,356
"4230063",6,16
"4230064",49,15
"4230065",39,11
"4230066",174,61
"4230070",165,98
"4230071",1765,606
"4230072",72,21
"4230073",170,51
"4230074",152,39
"4230075",1648,200
"4230076",75,52
"4230077",120,53
"4230078",70,19
"4230079",1565,339
"4230080",9,3
"4230081",43,32
"4230082",9,1
