CNTYVTD,LangR_18G_State Rep 60
"0490101",1258
"0490105",878
"0490109",165
"0490113",951
"0490202",469
"0490204",363
"0490212",451
"0490214",375
"0490215",153
"0490303",529
"0490306",941
"0490307",384
"0490308",314
"0490316",143
"0490318",854
"0490410",1230
"0490411",469
"0490417",1020
"0590001",1112
"0590002",947
"0590003",1007
"0590004",807
"0590005",77
"0590006",379
"0590007",246
"0830001",723
"0830002",541
"0830003",582
"0830004",764
"083002E",217
"1330001",1289
"1330002",175
"1330003",651
"1330004",183
"1330005",296
"1330006",185
"1330007",1075
"1330008",1345
"1330009",326
"2210001",577
"2210002",1711
"2210003",1407
"2210004",1178
"2210005",1291
"2210007",583
"2210008",1355
"2210009",2110
"2210010",2489
"2210011",868
"2210012",809
"2210013",1620
"2210014",1687
"2210015",233
"2210016",2939
"3630001",332
"3630002",11
"3630003",498
"3630004",217
"3630005",208
"3630006",475
"3630007",276
"3630008",881
"3630009",232
"3630011",155
"3630012",212
"3630013",334
"3630014",82
"3630015",403
"3630016",223
"3630017",198
"3630018",82
"3630020",110
"3630021",376
"3630022",522
"3630023",553
"3630024",72
"3630025",56
"3630026",38
"3630027",746
"3630028",285
"3630029",332
"3630030",186
"4170101",289
"4170202",339
"4170303",138
"4170307",162
"4170404",20
"4170405",109
"4170406A",142
"4170406B",2
"4291-11",517
"4292-11",651
"4292-19A",42
"4292-19B",97
"4292-19C",0
"4293-11",232
"4293-19",239
"4294-11",289
"4294-19",457
"4295-11",186
