CNTYVTD,KingR_18G_State Rep 61
"3670100",2114
"3670105",1034
"3670110",686
"3670111",565
"3670115",1011
"3670120",936
"3670125",1274
"3670130",1444
"3670135",738
"3670140",569
"3670200",660
"3670205",730
"3670210",951
"3670215",1797
"3670220",376
"3670225",647
"3670230",721
"3670235",568
"3670240",683
"3670245",748
"3670250",768
"3670255",877
"3670300",785
"3670305",1119
"3670310",634
"3670315",1881
"3670320",960
"3670325",953
"3670330",650
"3670335",1971
"3670340",516
"3670345",1013
"3670350",1412
"3670400",1722
"3670405A",1671
"3670405B",144
"3670410",1045
"3670415",1299
"3670420",1147
"3670425",734
"3670430",1359
"3670435",1442
"3670440",2218
"3670445",1067
"3670450",1379
"4970001",1031
"4970002",1374
"4970003",410
"4970004",143
"4970005",850
"4970006",881
"4970007A",357
"4970007B",361
"4970008",1217
"4970009",1102
"4970010",291
"4970011",271
"4970012",783
"4970013",459
"4970014",883
"4970015",697
"4970016",1150
"4970017",1452
"4970018",400
"4970019",220
"4970020",611
"4970022",536
"4970023",917
"4970024",1538
"4970025",54
"4970027",1729
