CNTYVTD,SmithR_18G_State Rep 62,HefnerD_18G_State Rep 62,SchaabL_18G_State Rep 62
"1190001",405,39,5
"1190003",157,55,4
"1190004",229,45,8
"1190005",350,65,7
"1190007",127,17,2
"1190009",152,13,1
"1190010",173,51,7
"1470001",532,131,13
"1470002",584,79,14
"1470003",228,89,5
"1470004",490,172,13
"1470005",255,49,8
"1470006",324,65,6
"1470007",229,48,9
"1470009",437,78,8
"1470010",1074,207,29
"1470011",1092,199,19
"1470012",566,84,9
"1470013",334,76,12
"1470015",404,58,5
"1470016",161,32,1
"1470018",1129,313,26
"1470019",706,199,10
"1810101",904,767,33
"1810102",346,723,32
"1810103",259,48,4
"1810104",480,88,10
"1810105",2490,529,81
"1810106",1152,247,33
"1810107",932,130,33
"1810108A",713,114,13
"1810108B",80,13,2
"1810201",1122,495,33
"1810202",1134,436,33
"1810203",228,207,9
"1810204",471,119,6
"1810205A",1763,374,27
"1810205B",0,0,0
"1810206",622,171,10
"1810207",470,93,13
"1810208",590,190,21
"1810209",553,111,15
"1810210",943,160,17
"1810301",550,296,13
"1810302",1881,865,72
"1810303",458,69,12
"1810304",1105,478,34
"1810305",680,123,14
"1810306",1842,274,38
"1810307",930,140,27
"1810308",544,75,13
"1810309",340,73,7
"1810401",353,352,12
"1810402",909,356,23
"1810403",1359,303,26
"1810404",1642,367,29
"1810405",160,86,2
"1810406",1321,209,28
"1810407",37,34,1
"1810408A",590,173,19
"1810408B",41,12,0
"1810409",1862,612,55
