CNTYVTD,ParkerR_18G_State Rep 63,HainesD_18G_State Rep 63
"1213002",2062,863
"1213003",1087,546
"1213010",1245,1179
"1213011",921,1277
"1213012",599,492
"1213013",822,651
"1213014",660,593
"1213015",570,710
"1213016A",384,657
"1213016B",0,0
"1213024",1285,742
"1213025",1609,847
"1213026",1003,612
"1213027",1728,1000
"1213028",1722,960
"1213029",911,600
"1213030",1002,565
"1213031",1384,712
"1213033",891,485
"1213098",0,0
"1214002",1714,423
"1214017",2201,491
"1214018",1034,367
"1214019",117,36
"1214020",528,134
"1214021",950,207
"1214022",1333,384
"1214023A",1545,534
"1214023B",0,0
"1214024",1368,630
"1214025",1317,873
"1214026",611,419
"1214027",1521,925
"1214028",2034,670
"1214029",393,136
"1214030",207,90
"1214031",2057,690
"1214032",2330,891
"1214033",1052,436
"1214034",1481,743
"1214035",1817,678
"1214036",1506,346
"1214043",1359,444
"1214046A",1403,583
"1214046B",5,2
"1214046C",21,9
"1214046D",1,0
"1214047",857,411
"1214048",1518,696
"1214049",806,205
