CNTYVTD,StuckyR_18G_State Rep 64,MorrisD_18G_State Rep 64,DietrichL_18G_State Rep 64
"1211000",1454,240,38
"1211008",646,169,20
"1211009",705,722,37
"1211010",895,642,44
"1211011",665,933,47
"1211012",922,909,50
"1211013",829,716,46
"1211014",31,93,6
"1211015",1034,722,29
"1211016",1155,685,43
"1211017",564,309,17
"1211018",1694,1157,78
"1211019",746,719,31
"1211020",1881,772,75
"1211021",1297,651,53
"1211022",1231,705,46
"1211023",1421,662,60
"1211024A",1042,328,21
"1211024B",6,2,0
"1211038",77,102,6
"1211039",4,0,0
"1211046",1279,1001,64
"1213000",1490,839,75
"1213001",1442,572,70
"1214000",1917,532,71
"1214001",676,194,13
"1214003",2584,664,30
"1214004",206,873,53
"1214005",768,774,49
"1214006",540,924,48
"1214007",471,1163,56
"1214008",260,738,30
"1214009",524,1388,70
"1214010",458,639,25
"1214011",748,1817,87
"1214012",817,634,27
"1214013",49,169,12
"1214014",101,822,38
"1214015",122,284,7
"1214016",1,1,0
"1214037",368,733,52
"1214038",117,54,3
"1214039",147,982,53
"1214040",375,413,23
"1214041",570,565,27
"1214042",17,2,1
"1214044",1535,490,33
"1214045",358,2030,88
