CNTYVTD,SimmonsR_18G_State Rep 65,BeckleyD_18G_State Rep 65
"1212000",452,1297
"1212001",487,1296
"1212002",796,1575
"1212003",484,663
"1212004",825,1178
"1212005",1484,1227
"1212006",1023,934
"1212007",757,1298
"1212008",894,1140
"1212009",730,724
"1212010",1345,1209
"1212011",902,948
"1212012",814,370
"1212013",606,487
"1212014",1022,718
"1212015",1144,1059
"1212016",1056,1064
"1212017",2258,1296
"1212033",728,1004
"1212034",448,765
"1213004",1424,644
"1213005",997,397
"1213006",1340,956
"1213007",1159,1264
"1213008",1076,722
"1213009",847,653
"1213017",454,1162
"1213018",277,316
"1213019",945,1445
"1213020",118,199
"1213021",1208,1190
"1213022",81,50
"1213023",148,112
"1213032",285,610
"1213099",0,0
