CNTYVTD,ShaheenR_18G_State Rep 66,HirschD_18G_State Rep 66
"0850014",643,901
"0850015",425,438
"0850019",634,434
"0850024",387,769
"0850028",760,786
"0850031",864,600
"0850034",1109,1469
"0850036",809,482
"0850067",790,749
"0850071",615,562
"0850073",379,598
"0850074",588,542
"0850075",807,453
"0850076",1196,961
"0850079",729,677
"0850081",772,937
"0850084",771,692
"0850086",961,822
"0850088",259,786
"0850089",1493,1570
"0850090",1319,747
"0850104",340,810
"0850105",407,297
"0850108",810,939
"0850109",1276,943
"0850112",982,859
"0850115",907,979
"0850116",1666,1292
"0850119",1835,1567
"0850123",724,537
"0850124",856,883
"0850132",802,900
"0850135",1091,1226
"0850136",705,562
"0850137",726,498
"0850139",1057,1363
"0850142",930,920
"0850143",762,471
"0850167",1234,1558
"0850176",663,997
"0850197",299,415
