CNTYVTD,LeachR_18G_State Rep 67,DepewD_18G_State Rep 67
"0850005",428,189
"0850021",1393,1234
"0850023",310,862
"0850026",472,483
"0850032",917,691
"0850039",709,903
"0850040",1411,730
"0850046",576,867
"0850048",1081,1041
"0850049",929,577
"0850050",457,1006
"0850051",280,528
"0850053",877,606
"0850054",673,981
"0850055",842,1224
"0850058",972,1004
"0850062",731,765
"0850063",859,529
"0850064",785,785
"0850065",386,343
"0850066",654,587
"0850069",1322,1123
"0850070",761,488
"0850072",547,400
"0850077",918,1110
"0850078",857,875
"0850085",819,965
"0850091",739,654
"0850094",1211,1305
"0850107",1070,1022
"0850110",925,763
"0850120",1357,841
"0850121",605,1054
"0850125",1319,1600
"0850130",1106,1104
"0850138",571,319
"0850147",520,485
"0850152",11,35
"0850157",1170,1105
"0850164",515,277
"0850171",1586,1268
"0850218",1096,919
"0850219",915,626
"0850222",885,875
"0850223",701,448
