CNTYVTD,SpringerR_18G_State Rep 68
"0750101",365
"0750201",437
"0750301",354
"0750401",466
"0870101",260
"0870201",132
"0870202",26
"0870301",161
"0870302",29
"0870401",145
"0870402",53
"0970001",565
"0970002",85
"0970003",232
"0970004",228
"0970005",520
"0970006",279
"0970007",770
"0970008",446
"0970009",750
"0970010",1066
"0970011",1163
"0970012",435
"0970014",180
"0970015",137
"0970017",290
"0970018",1106
"0970019",243
"0970020",273
"0970021",787
"0970022",1219
"0970026",204
"0970027",103
"0970028",45
"0970030",86
"0970031",51
"0970033",270
"0970034",124
"0970035",267
"0970037",706
"1010101",172
"1010201",142
"1010301",74
"1010401",95
"1070011",207
"1070027",321
"1070039",235
"1070044",338
"1250001",63
"1250002",55
"1250003A",159
"1250003B",24
"1250004A",85
"1250004B",4
"1250005",113
"1250006",162
"1510001",309
"1510004",336
"1510010",231
"1510012",285
"1530001",598
"1530009",53
"1530018",470
"1530023",291
"1530024",102
"153024BA",45
"153024BB",0
"1690001",277
"1690002",361
"1690003",214
"1690004",137
"1690005",68
"1690006",67
"1910101",138
"1910201",39
"1910202",192
"1910301",59
"1910302",135
"1910401",156
"1910402",92
"1970001",282
"1970002",217
"1970003",226
"1970004",286
"2070001",174
"2070002",267
"2070003",227
"2070004",108
"2070005",161
"2070006",149
"2070007",47
"2070008",56
"2070009",107
"2070010",82
"2370001",529
"2370002",538
"2370003",97
"2370004",446
"2370005",390
"2370006",589
"2630101",89
"2630201",17
"2630202",44
"2630301",53
"2630302",20
"2630401",60
"2690001",33
"2690002",19
"2690003A",9
"2690003B",23
"2690004",37
"3370002",1227
"3370003",689
"3370004",252
"3370005",453
"3370006",471
"3370007",574
"3370008",393
"3370009",590
"3370010",459
"3370011",464
"3370012",63
"3370013",545
"3370014",102
"3370015",240
"3370016",139
"3450001",145
"3450002",56
"3450003",14
"3450004",119
"3450005",81
"3450006",74
"4330001",142
"4330002",129
"4330003",123
"4330004",112
"4470001",173
"4470002",151
"4473003",137
"4474005",49
"4474006",107
"4830001",142
"4830002",281
"4830003",275
"4830004",92
"4830005",58
"4830006",64
"4830007",85
"4830008",239
"4830009",397
"4830010",56
"4870001A",474
"4870001B",50
"4870009",434
"4870019",547
"4870020",364
"4870021",990
"5030005",1504
"5030006",129
"5030007",96
"5030010",225
"5030016",156
"5030020",110
"5030022",1816
"5030023",943
"5030024",759
