CNTYVTD,FrankR_18G_State Rep 69
"0090001",620
"0090002",547
"0090003",199
"0090004",379
"0090005",83
"0090006",541
"0090007",121
"0090008",189
"0090009",98
"0090010",458
"0090011",68
"0230001",319
"0230002",238
"0230003",232
"0230004",310
"0770001",415
"0770006",205
"0770008",390
"0770009",251
"0770010",151
"0770011",446
"0770012",169
"0770013",79
"0770014",93
"0770015",180
"0770017",526
"0770020",248
"0770024",170
"0770026",104
"0770027",223
"0770032",136
"1550101",47
"1550201",104
"1550301",83
"1550401",89
"2750101",260
"2750201",95
"2750202",120
"2750301",168
"2750302",34
"2750401",211
"4850101",135
"4850102",467
"4850103",2098
"4850104",659
"4850105",1323
"4850106",454
"4850107",23
"4850108",1652
"4850109",1715
"4850110",246
"4850111",220
"4850112",7
"4850113",222
"4850114A",6
"4850114B",12
"4850115",1
"4850116",17
"4850117",27
"4850201",419
"4850202",1192
"4850203",393
"4850204",104
"4850205",1770
"4850206",1165
"4850207",197
"4850208",65
"4850209",0
"4850210",0
"4850211",58
"4850301",4
"4850302",399
"4850303",283
"4850304",58
"4850305",121
"4850306",145
"4850307",98
"4850308",148
"4850309",1837
"4850310",727
"4850311",215
"4850312",0
"4850313",0
"4850314",6
"4850315",58
"4850316",16
"4850317",44
"4850318",183
"4850319",21
"4850401",1128
"4850402",334
"4850403",906
"4850404",1432
"4850405",615
"4850406",1216
"4850407",544
"4850408",7
"4850409",12
"4850410",135
"4850411",297
"4850412",370
"4850413",410
"4850414",253
