CNTYVTD,DeanR_18G_State Rep 7
"1830001",792
"1830002",1744
"1830003",1544
"1830004",1740
"1830005",1720
"1830006",1250
"1830007",1448
"1830008",1918
"1830009",1982
"1830010",1381
"1830011",1907
"1830012",2199
"1830013",1101
"1830014",2024
"1830015",436
"1830016",1850
"1830017",184
"1830018",1021
"1830019",447
"1830020",393
"1830021",478
"4590001",850
"4590002",1336
"4590003",769
"4590004",493
"4590005",340
"4590006",670
"4590007",1013
"4590008",416
"4590009",826
"4590010",1144
"4590011",288
"4590012",511
"4590013",377
"4590014",239
"4590015",933
"4590016",643
"4590017",900
"4590018",212
"4590019",4
"4590020",65
"4590021",0
