CNTYVTD,SanfordR_18G_State Rep 70,LutonD_18G_State Rep 70
"0850001",780,691
"0850002",1048,1051
"0850003",161,681
"0850004",637,239
"0850009",1661,1181
"0850010",339,81
"0850012",769,441
"0850013",1777,503
"0850016",1118,487
"0850020",422,126
"0850022",1702,407
"0850038",1853,1991
"0850043",1492,1490
"0850044",327,346
"0850057",1359,1097
"0850096",267,315
"0850097",702,253
"0850098",429,255
"0850099",71,69
"0850100",7,3
"0850102",1165,537
"0850122",2039,986
"0850126",1416,1164
"0850129",1251,999
"0850131",2199,1267
"0850140",1891,892
"0850148",0,2
"0850149",1396,1005
"0850150",381,243
"0850155",892,612
"0850156",1132,889
"0850161",101,38
"0850162",144,24
"0850163",1106,1006
"0850169",862,876
"0850172",1111,598
"0850173",292,129
"0850178",956,296
"0850180",183,108
"0850187",240,34
"0850188",34,5
"0850189",359,57
"0850190",37,7
"0850202",5,3
"0850203",1260,658
"0850204",151,83
"0850205",14,3
"0850206",600,327
"0850207",1281,850
"0850208",576,253
"0850211",1766,1569
"0850213",932,896
"0850214",1699,429
"0850215",681,291
"0850216",1910,799
"0850221",1790,899
"0850224",2521,856
"0850226",1232,1146
