CNTYVTD,LambertR_18G_State Rep 71,HattonD_18G_State Rep 71
"2530101",533,102
"2530102",44,32
"2530103",170,53
"2530201",645,197
"2530202",111,27
"2530203",143,17
"2530301",131,14
"2530302",508,62
"2530303",610,74
"2530401",692,91
"2530402",545,141
"3530001",336,112
"3530002",506,82
"3530003",533,176
"3530004",359,231
"3530005",82,21
"3530006",446,87
"3530007",164,8
"3530008",101,11
"3530009",652,118
"4410101",1322,563
"4410102",932,345
"4410103",939,390
"4410104",1383,283
"4410105",964,485
"4410106",245,143
"4410107",236,47
"4410108",682,81
"4410109",133,16
"4410110",52,3
"4410201",350,254
"4410202",597,520
"4410203",714,382
"4410204",730,183
"4410205",725,506
"4410206",1064,182
"4410207",142,23
"4410301",876,346
"4410302",1080,257
"4410303",1051,94
"4410304",1088,377
"4410305",1487,307
"4410306",2431,426
"4410307",2848,468
"4410308",897,120
"4410401",341,212
"4410402",1139,380
"4410403",816,363
"4410404",694,414
"4410405",565,247
"4410406",1508,342
"4410407",533,140
"4410408",2141,227
"4410409",491,45
