CNTYVTD,DarbyR_18G_State Rep 72
"0810001",315
"0810002",346
"0810003",306
"0810004",230
"0950101",231
"0950102",55
"0950203",93
"0950204",56
"0950205",72
"0950306",158
"0950407",61
"0950408",139
"1730001",159
"1730002",103
"1730003",110
"1730004",138
"2270011",283
"2270012",116
"2270013",93
"2270014",39
"2270016",24
"2270024",201
"2270025",554
"2270026",325
"2270032",46
"2270033",583
"2270034",530
"2270035",140
"2270037",0
"2270042",255
"2270045",269
"2270046",295
"2270103",43
"2270104",21
"2270105",0
"227012A",26
"2270205",599
"2270207",467
"2270208",80
"2270209",0
"2270304",203
"2270404",211
"2270405",88
"2270408",24
"2270409",261
"227207C",305
"2350100",171
"2350200",158
"2350300",126
"2350400",206
"3830001",83
"3830002",271
"3830003A",193
"3830003B",22
"3830004",175
"3990001",609
"3990002",51
"3990003",593
"3990004A",138
"3990004B",10
"3990005",95
"3990006",80
"3990007",390
"3990008",375
"3990009",392
"3990010",230
"4310001A",97
"4310001B",31
"4310002A",71
"4310002B",6
"4310002C",11
"4310002D",3
"4310003",138
"4310004",106
"4510106",276
"4510107",299
"4510108",435
"4510112",544
"4510114",140
"4510124",203
"4510137",649
"4510144",429
"4510146",728
"4510213",1647
"4510215",1271
"4510225",57
"4510228",1115
"4510230",2304
"4510241",2694
"4510304",1227
"4510305",20
"4510306",632
"4510308",89
"4510319",1694
"4510327",809
"4510348",313
"4510351",227
"4510358",2108
"4510401",60
"4510402",1242
"4510420",266
"4510421",1676
"4510422",778
"4510423",592
"4510424",979
"4510434",348
"4510435",409
"4510436",1736
