CNTYVTD,BiedermannR_18G_State Rep 73,PhillipsD_18G_State Rep 73
"0910101",1619,830
"0910102",1981,448
"0910103",1867,519
"0910104",1061,313
"0910105A",2632,760
"0910105B",45,13
"0910105C",1,0
"0910105D",0,0
"0910106A",2246,487
"0910106B",136,28
"0910107",1125,311
"0910201",1738,866
"0910202A",431,172
"0910202B",45,18
"0910203A",1823,586
"0910203B",52,17
"0910203C",0,0
"0910204",1775,510
"0910205",2711,956
"0910206",2682,691
"0910207",1365,383
"0910208",1040,267
"0910301",879,911
"0910302",1674,1055
"0910303",218,260
"0910304",1224,807
"0910305",860,406
"0910306",507,314
"0910401",942,415
"0910402",2146,756
"0910403",2631,737
"0910404",1728,531
"0910405",1837,499
"0910406",2216,921
"0910407",1522,438
"1710001",992,380
"1710002",559,223
"1710003",542,203
"1710004",1232,465
"1710005",1020,276
"1710006",390,116
"1710007",1269,408
"1710008",188,60
"1710009",107,36
"1710010",412,162
"1710012",1033,354
"1710013",859,284
"1710015",470,142
"2591010",1170,430
"2591110",2205,558
"2592020",1331,220
"2592080",1885,448
"2592120A",2099,565
"2592120B",25,7
"2593030",1396,265
"2593040",1783,505
"2593060",358,69
"2594050",1224,415
"2594070",179,49
"2594100",1716,468
