CNTYVTD,NevarezD_18G_State Rep 74
"0430001",638
"0430002",477
"0430003",162
"0430004",589
"0430005",48
"0430006",230
"0430007",54
"0430008",378
"1090001",120
"1090002",119
"1090004",106
"10903-3",17
"10903-5",108
"2290001",129
"2290002",151
"2290004",85
"229003N",50
"229003S",65
"2430001",179
"2430002",121
"2430003",132
"2430004",50
"2430005",77
"2710001",108
"2710002",150
"2710003",132
"2710004",110
"3010001",4
"3010002",2
"3010003",5
"3010004",3
"323001A",236
"323001B",855
"323001C",1322
"323002A",243
"323002BA",87
"323002BB",168
"323002BC",687
"323002C",507
"323002D",32
"323003A",1088
"323003B",1205
"323003C",156
"323004A",320
"323004B",967
"323004C",345
"323004D",584
"3710001",485
"3710002",464
"3710003",32
"3710004",138
"3710005",12
"3710006",33
"3710007",401
"3710009",45
"3710010",213
"3770001",125
"3770002",137
"3770003",15
"3770004",237
"3770005",145
"3770006",6
"3770007",624
"3890001",72
"3890002",186
"3890003",196
"3890004",7
"3890005",117
"3890006",28
"3890007",180
"3890008",74
"3890010",199
"3890011",185
"3890012",185
"4430001",57
"4430002A",7
"4430002B",72
"4430003",46
"4430004A",4
"4430004B",36
"4650010A",10
"4650010B",597
"4650011",530
"4650012",99
"4650013",196
"4650020",28
"4650021",491
"4650022",571
"4650023",66
"4650024",385
"4650030",402
"4650031",1420
"4650032",60
"4650033",392
"4650040",1490
"4650041A",67
"4650041B",436
"4650042",2
"4650043",13
