CNTYVTD,BlancoD_18G_State Rep 76
"1410075",659
"1410076",513
"1410077",904
"1410078",489
"1410079",225
"1410080",548
"1410081",126
"1410082",759
"1410083",473
"1410084",785
"1410085",570
"1410088",152
"1410089",1113
"1410090",790
"1410091",375
"1410092",1167
"1410097",764
"1410098",814
"1410132",137
"1410133",941
"1410134",448
"1410135",872
"1410136",640
"1410137",738
"1410138",772
"1410139",817
"1410140",634
"1410141",468
"1410142",439
"1410143",954
"1410144",950
"1410145",881
"1410146",502
"1410147",541
"1410148",889
"1410149",968
"1410150",632
"1410151",787
"1410152",678
"1410153",924
"1410154",816
"1410155",402
"1410156",1058
"1410175",100
"1410179",231
