CNTYVTD,OrtegaD_18G_State Rep 77
"1410021",768
"1410022",908
"1410023",505
"1410024",1211
"1410025",986
"1410026",691
"1410027",757
"1410029",967
"1410030",71
"1410031",546
"1410032",728
"1410033",875
"1410034",272
"1410035",883
"1410036",894
"1410037",723
"1410038",773
"1410039",235
"1410040",319
"1410041",388
"1410042",627
"1410055",818
"1410056",725
"1410057",489
"1410059",874
"1410061",523
"1410062",398
"1410063",858
"1410064",914
"1410065",113
"1410066",770
"1410067",781
"1410068",234
"1410069",1463
"1410070",978
"1410071",803
"1410072",487
"1410073",462
"1410074",780
"1410176",382
"1410178",388
"1410186",283
"1410188",35
