CNTYVTD,LaneR_18G_State Rep 78,MoodyD_18G_State Rep 78
"1410001",242,617
"1410002",336,962
"1410003",359,782
"1410004",243,511
"1410005",1004,2029
"1410006",659,637
"1410007",577,954
"1410008",893,783
"1410009",699,1108
"1410010",401,1387
"1410011",852,1866
"1410012",267,489
"1410013",508,1164
"1410014",874,1243
"1410015",666,906
"1410016",444,1374
"1410017",375,583
"1410018",810,1065
"1410019",508,1231
"1410020",216,487
"1410028",32,144
"1410043",527,650
"1410044",921,1498
"1410045",560,1086
"1410046",182,450
"1410047",522,802
"1410048",181,666
"1410049",230,445
"1410050",613,1476
"1410051",372,630
"1410052",275,703
"1410053",345,937
"1410054",209,632
"1410058",251,507
"1410060",555,682
"1410177",119,187
"1410184",0,0
"1410185",160,208
"1410187",0,1
