CNTYVTD,PickettD_18G_State Rep 79
"1410086",126
"1410087",3
"1410093",600
"1410094",1032
"1410095",1116
"1410096",1238
"1410099",471
"1410100",1259
"1410101",1015
"1410102",922
"1410103",763
"1410104",1124
"1410105",1102
"1410106",1173
"1410107",871
"1410108",833
"1410109",745
"1410110",1277
"1410111",855
"1410112",1304
"1410113",970
"1410114",1538
"1410115",1766
"1410116",2423
"1410117",1236
"1410118",952
"1410119",1044
"1410120",1190
"1410121",845
"1410122",1423
"1410123",1156
"1410127",131
"1410174",2
"1410182",507
"1410189",3
"1410190",0
"1410191",0
