CNTYVTD,HarrisR_18G_State Rep 8,RatcliffD_18G_State Rep 8
"0010001",678,223
"0010002",1078,154
"0010003",576,93
"0010004",750,96
"0010005",179,12
"0010006",274,370
"0010007",93,443
"0010008",53,96
"0010009",562,135
"0010010",232,27
"0010011",495,142
"0010013",641,228
"0010015",484,56
"0010016",362,85
"0010017",345,97
"0010018",926,186
"0010019",817,227
"0010020",432,124
"0010021",858,125
"0010022",538,93
"0010023",704,70
"0010024",457,36
"1610001",1400,216
"1610002",572,213
"1610003",79,7
"1610004",223,30
"1610005",862,281
"1610006",285,36
"1610007",299,84
"1610008",287,53
"1610009",248,56
"1610010",206,9
"1610011",205,160
"1610012",62,22
"1610013",171,25
"1610014",207,50
"1610015",142,18
"2170002",404,126
"2170003",263,260
"2170004",935,281
"2170005",253,37
"2170006",173,33
"2170007",284,46
"2170008",115,18
"2170009",171,36
"2170010",715,226
"2170012",360,57
"2170013",1174,196
"2170014",541,66
"2170015",180,28
"2170016",156,33
"2170018",96,8
"2170019",171,28
"2170020",452,73
"2170021",918,186
"2170022",729,156
"2170023",201,66
"2170024",488,153
"2170027",310,72
"3490101",556,309
"3490103",821,216
"3490104",275,79
"3490105",143,16
"3490106",199,60
"3490107",356,178
"3490108",213,43
"3490109",185,41
"3490200",100,223
"3490201",19,270
"3490202",78,225
"3490203",796,295
"3490204",123,40
"3490205",707,116
"3490206",286,41
"3490300",614,399
"3490301",108,67
"3490303",472,123
"3490304",328,37
"3490305",222,55
"3490306",142,18
"3490307",221,36
"3490308",188,32
"3490400",783,185
"3490401",137,81
"3490402",865,170
"3490403",714,88
"3490404",478,101
"3490405",400,49
"3490406",135,15
