CNTYVTD,KingD_18G_State Rep 80
"1270001",599
"1270002",613
"1270003",162
"1270004",43
"1270005",413
"1270006",364
"1270007",233
"1630001",404
"1630002",268
"1630003",260
"1630004A",428
"1630004B",2
"1630005",154
"1630006",149
"1630008",308
"1630009",359
"1630010",329
"4630001",635
"4630002",459
"4630003",174
"4630004",151
"4630005",605
"4630006",72
"4630007",211
"4630008",686
"4630009",493
"4630010",196
"4630011",169
"4630012",842
"4630013",920
"4630014",34
"4790132",1180
"4790133",1217
"4790134",714
"4790135",532
"4790136",194
"4790154",314
"4790169",318
"4790227",1470
"4790237",296
"4790267",587
"4790268",86
"4790338",77
"4790349",980
"4790350",11
"4790359",1533
"4790446",1200
"4790447",914
"4790448",125
"4790457",21
"4790458",1079
"5050001",488
"5050002",344
"5050003",432
"5050004",297
"505001A",28
"505001B",37
"505002A",122
"5070001",192
"5070002",689
"5070003",635
"5070004",432
"507001A",282
"507004A",219
