CNTYVTD,LandgrafR_18G_State Rep 81,GamboaD_18G_State Rep 81
"0030001",726,182
"0030002",1313,162
"0030003",816,164
"0030004",552,173
"1350101",1229,439
"1350102",712,354
"1350103",416,171
"1350104",94,28
"1350106",504,135
"1350107",335,65
"1350108",1019,221
"1350109",103,14
"1350110",1396,387
"1350111",165,87
"1350201",2916,478
"1350202",1321,226
"1350203",1236,251
"1350204",640,150
"1350205",847,183
"1350206",337,45
"1350207",930,73
"1350208",1608,359
"1350209",444,133
"1350301",674,370
"1350302",332,125
"1350303",456,229
"1350304",101,82
"1350305",80,97
"1350306",216,158
"1350307",475,286
"1350308",331,100
"1350309",440,167
"1350311",302,146
"1350312",519,158
"1350401",222,97
"1350402",196,366
"1350403",221,545
"1350404",316,190
"1350405",76,206
"1350406",405,403
"1350407",263,100
"1350408",81,117
"1350409",240,161
"1350412",116,110
"4750002",779,145
"475001E",264,248
"475001W",45,75
"475003N",528,85
"475003S",139,11
"475004E",283,113
"475004M",93,22
"475004W",50,12
"4950101",315,66
"4950201",94,22
"4950202",320,35
"4950301",330,61
"4950401",102,104
