CNTYVTD,CraddickR_18G_State Rep 82,BoundsD_18G_State Rep 82
"1030001",305,37
"1030002",245,44
"1030003",151,67
"1030004",155,37
"1150001",381,137
"1150002",443,187
"1150003",623,174
"1150004",559,154
"1150005",74,13
"1150011",69,9
"1150012",30,3
"1150013",54,3
"1150017",42,6
"3170001",278,63
"3170002",214,66
"3170003",301,40
"3170004",249,62
"317003A",121,15
"317004A",105,3
"3290101A",314,38
"3290101B",9,1
"3290102",1183,372
"3290103",1006,284
"3290104",186,117
"3290105",490,209
"3290106",1097,397
"3290107",1293,257
"3290108",145,41
"3290109",166,123
"3290110",1658,212
"3290201",1019,172
"3290202",2495,266
"3290203",307,67
"3290204",1506,192
"3290205",602,99
"3290206",986,154
"3290207",1378,248
"3290208",289,111
"3290210",656,170
"3290211",1101,264
"3290212",671,201
"3290302",942,259
"3290303",55,43
"3290304",178,210
"3290305",125,257
"3290306",244,413
"3290307",422,175
"3290308",614,906
"3290309",59,32
"3290310",122,62
"3290401",465,59
"3290402",167,31
"3290403",1708,276
"3290404",1302,261
"3290405",1211,246
"3290406",885,159
"3290407",1173,303
"3290408",1142,122
"3290409",846,171
"3290410",700,69
"3290411",2205,218
"329108A",165,33
"329109A",0,0
"329307A",81,40
"329309A",12,1
"329402A",399,74
"4610001",196,22
"4610002",114,13
"4610003",134,39
"4610004",262,42
"4610005",45,6
"4610006",101,20
