CNTYVTD,BurrowsR_18G_State Rep 83,LandryD_18G_State Rep 83
"0330004",79,7
"033001A",35,5
"033001B",50,3
"033002A",67,8
"033002B",26,3
"033003A",14,1
"033003B",35,2
"1650002",756,111
"1650003",1118,125
"1650004",445,93
"1650005",125,13
"1650006",82,23
"1650007",96,76
"1650008",375,75
"1650009",273,30
"3030002",428,412
"3030006",0,0
"3030015",506,542
"3030016",259,309
"3030024",390,409
"3030026",0,0
"3030028",917,492
"3030031",730,169
"3030033",1608,290
"3030034A",219,57
"3030034B",1,0
"3030035",310,71
"3030036",724,287
"3030038",296,265
"3030039",966,188
"3030041",1028,250
"3030043",249,39
"3030044",536,167
"3030045",175,49
"3030046",1451,261
"3030051",35,20
"3030052",1397,511
"3030054",1684,426
"3030056",179,63
"3030064",0,0
"3030065",302,110
"3030066",1347,322
"3030067",707,381
"3030069",4,2
"3030096",0,0
"3030102",284,30
"3030104",517,114
"3030109",1650,376
"3030110",1755,404
"3030111",655,153
"3030112",153,14
"3030118",594,299
"3030119",748,584
"3030120",1383,267
"3030121",1353,244
"3030122",490,196
"3030123",831,301
"3030131",0,0
"3030132",5,1
"3030135",116,23
"3030138",113,22
"3030140",1772,442
"3030141",942,457
"3030142A",34,24
"3030151",468,115
"3030154",1361,397
"3030155",1245,155
"3030159",0,0
"3030160",1,0
"3030175",50,10
"3030178",167,15
"3050001A",98,30
"3050001B",10,1
"3050002",132,44
"3050003",175,68
"3050004",311,35
"3050005",23,2
"3050006",136,49
"3050007",28,1
"3050008",13,2
"3050009",192,28
"3050010",2,0
"3050011",48,4
"3050012",49,19
"3050013",66,17
"3050014",53,42
"3350001",423,85
"3350002",125,6
"3350003",378,99
"3350004",245,63
"3350025",170,57
"3350046",189,39
"4150005",56,6
"4150006",134,20
"4150007",952,161
"4150008",362,54
"4150009",254,18
"4150010",645,70
"4150011",69,8
"4150012",499,123
"4150013",225,43
"4150014",67,13
"4150015",406,145
"4450101",204,44
"4450102",689,135
"4450201",215,85
"4450202",190,65
"4450301",318,166
"4450401",387,144
"4450402",130,8
