CNTYVTD,FrulloR_18G_State Rep 84,FieldsD_18G_State Rep 84
"3030001",503,774
"3030002",0,0
"3030003",256,759
"3030004",78,269
"3030005",109,230
"3030006",40,477
"3030007",968,315
"3030008",304,738
"3030009",996,473
"3030010",146,276
"3030012",863,307
"3030013",642,331
"3030014",318,252
"3030017",134,237
"3030018",243,339
"3030019",214,437
"3030020",27,434
"3030021",531,373
"3030022",667,330
"3030023",471,303
"3030025",265,377
"3030026",328,506
"3030027",767,593
"3030029",410,363
"3030030",928,466
"3030040",38,275
"3030047",903,443
"3030049",236,364
"3030050",255,401
"3030053",775,485
"3030057",850,394
"3030058",597,210
"3030059",762,488
"3030060",615,173
"3030062",1006,348
"3030063",38,15
"3030072",939,494
"3030075",607,135
"3030076",662,285
"3030078",1457,354
"3030092",126,45
"3030096",28,23
"3030113",580,508
"3030114",128,195
"3030117",29,0
"3030124",963,257
"3030125",1071,289
"3030126",619,248
"3030127",1149,386
"3030128",1013,226
"3030129",1388,467
"3030142B",0,0
"3030148",0,0
"3030152",408,356
"3030153",78,414
"3030181",0,0
