CNTYVTD,StephensonR_18G_State Rep 85,CantuD_18G_State Rep 85
"1571002",222,772
"1571003",171,967
"1571007",1870,2155
"1571010",1835,471
"1571012",524,562
"1571013",790,707
"1571015",531,181
"1571018",882,196
"1571021",425,53
"1571024",427,135
"1571025",1155,838
"1571037",694,585
"1571040",148,739
"1571048",253,529
"1571058",118,305
"1571067",569,1105
"1571068",242,27
"1571072",46,15
"1571074",798,1174
"1571076",981,1949
"1571085",872,845
"1571141",1088,565
"1571152",538,342
"1571154",674,826
"1574039",193,359
"1574044",935,1342
"1574065",1313,1682
"1574102",563,876
"2390001",744,258
"2390002",932,144
"2390003",974,158
"2390004",162,25
"2390005",275,43
"2390006",223,73
"2390007",56,16
"2390008",245,40
"2390009",300,40
"4810101A",342,184
"4810101B",440,236
"4810102",1134,318
"4810103",771,214
"4810201",1386,177
"4810202",140,294
"4810203",605,850
"4810301",1264,183
"4810302",884,252
"4810303",1035,128
"4810401",564,448
"4810402",479,167
"4810403",207,118
