CNTYVTD,SmitheeR_18G_State Rep 86,PurcellD_18G_State Rep 86
"1110001",153,14
"1110002",20,0
"1110003",7,0
"1110004",17,0
"1110005",6,0
"1110006",117,16
"1110007",150,35
"1110008",303,38
"1110009",194,34
"1170001",433,187
"1170002",419,256
"1170003",1373,328
"1170004",481,267
"2050101",159,16
"2050102",100,3
"2050201",134,12
"2050202",278,24
"2050301",430,40
"2050401",338,47
"3590101",106,17
"3590103",94,8
"3590202",86,10
"3590203",105,14
"3590303",142,22
"3590403",80,11
"3590404",99,10
"3690101",521,106
"3690201",152,110
"3690202",119,8
"3690203",44,0
"3690301",413,62
"3690302",123,7
"3690303",30,5
"3690401",154,13
"3690402",81,54
"3810110",2438,348
"3810111",1397,613
"3810112",1037,413
"3810114",1086,376
"3810123",631,219
"3810208",2820,576
"3810220",909,207
"3810222",2236,392
"3810227",2627,480
"3810228",2562,504
"3810230",1623,291
"3810305",1280,242
"3810306",1851,413
"3810307",1872,326
"3810309",1673,201
"3810324",2675,492
"3810325",2049,254
"3810415",1869,452
"3810418",2274,539
"3810421",1338,358
"3810426",1490,212
"3810429",1777,537
