CNTYVTD,PriceR_18G_State Rep 87
"0650101",281
"0650102",50
"0650103",224
"0650201",594
"0650301",378
"0650302",178
"0650401",421
"0650402",173
"2330011",942
"2330014",1058
"2330021",1716
"2330023",160
"2330031",804
"2330033",715
"2330041",38
"2330042",695
"3410101",881
"3410201",815
"3410202",863
"3410203",37
"3410301",452
"3410401",461
"3410402",46
"3750121",1078
"3750122",929
"3750123",1540
"3750124",1148
"3750125",1473
"3750126",859
"3750221",317
"3750222",325
"3750223",371
"3750224",727
"3750225",364
"3750321",1404
"3750322",108
"3750323",1993
"3750324",2381
"3750325",1132
"3750326",1151
"3750327",499
"3750421",234
"3750422",649
"3750424",284
"3750425",347
"3750426",141
"3750427",118
"4210101",42
"4210102",114
"4210201",76
"4210202",60
"4210301",68
"4210302",112
"4210401",281
