CNTYVTD,KingR_18G_State Rep 88,BarronD_18G_State Rep 88
"0110101",221,9
"0110201",114,18
"0110202",42,7
"0110301",172,7
"0110303",28,6
"0110401",122,7
"0110402",100,6
"0110404",19,0
"0170001",372,106
"0170002",538,73
"0170003",198,84
"0170004A",93,94
"0170004B",6,5
"0450001",73,7
"0450002",141,19
"0450003",134,12
"0450004",176,17
"0450006",30,7
"0690101",112,107
"0690105",23,5
"0690201",131,113
"0690206",68,9
"0690301",396,76
"0690307",75,9
"0690401",85,50
"0690408",332,22
"0790101",136,32
"0790202",200,42
"0790303",36,1
"0790306",109,32
"0790404",66,19
"1290101",126,6
"1290102",169,20
"1290201",357,51
"1290301",110,2
"1290303",146,18
"1290401",224,35
"1790001",196,9
"1790002",1072,118
"1790003",82,1
"1790004",379,32
"1790005",1408,156
"1790006",1448,137
"1790007",739,120
"1890101",131,41
"1890102",32,18
"1890103",72,82
"1890104",127,87
"1890105",52,29
"1890110",193,21
"1890111",229,70
"1890112",313,34
"1890202",35,54
"1890203",58,80
"1890204",141,117
"1890205",15,30
"1890206",9,13
"1890213",88,30
"1890214",312,134
"1890215",123,39
"1890304",335,109
"1890305",549,79
"1890306",14,20
"1890307",110,49
"1890308",20,9
"1890316",405,126
"1890317",68,12
"1890318",476,79
"1890406",148,111
"1890407",594,122
"1890408",313,70
"1890409",259,90
"1890419",104,9
"1890420",207,22
"1950001",341,35
"1950002",26,3
"1950003",152,8
"1950004",322,15
"1950005",270,22
"1950006",342,29
"1950007",27,2
"1950009",65,1
"2110101",246,25
"2110201",255,28
"2110202",19,0
"2110301",364,27
"2110302",29,2
"2110303",66,11
"2110401",203,10
"2110402",76,7
"2190011",357,50
"2190014",355,49
"2190015",194,20
"2190016",937,139
"2190021",709,175
"2190024",342,52
"2190032",552,177
"2190033",53,3
"2190035",61,23
"2190036",70,63
"2190043",173,18
"2190044",300,97
"2190045A",386,115
"2190045B",179,55
"2190046",258,58
"2790001",335,77
"2790002",98,85
"2790003",266,44
"2790004",36,0
"2790005",152,38
"2790006",124,32
"2790007",46,3
"2790008",806,155
"2790009",329,124
"2790010",169,28
"2790011",316,44
"2790012",95,9
"2950106",134,13
"2950202",82,4
"2950207A",184,11
"2950207B",1,0
"2950303",227,28
"2950308",82,8
"2950404",191,35
"2950409",58,4
"3570001",287,46
"3570002",436,49
"3570003",850,58
"3570004",570,60
"3930001",116,3
"3930002",115,6
"3930003",81,8
"39304-1",64,3
"39304-2",67,2
"4370001",209,58
"4370002",373,108
"4370003",344,57
"4370004",89,50
"4370006",123,38
"4370007",203,30
"4370009",15,8
"4370011",114,38
"5010101",419,66
"5010202",430,70
"5010303",218,38
"5010305",110,43
"5010404",249,43
"5010406",143,51
