CNTYVTD,NobleR_18G_State Rep 89,AshD_18G_State Rep 89
"0850006",1665,1559
"0850007",445,384
"0850008",1006,349
"0850025",1681,1598
"0850027",792,609
"0850033",1586,570
"0850035",678,146
"0850041",1623,617
"0850045",1015,588
"0850047",781,759
"0850052",642,1369
"0850056",2032,1190
"0850059",1366,895
"0850060",1060,393
"0850061",664,448
"0850068",562,536
"0850080",1094,951
"0850082",757,674
"0850083",1893,871
"0850095",905,895
"0850103",271,385
"0850106",619,509
"0850113",952,837
"0850114",645,190
"0850128",2359,756
"0850133",690,577
"0850141",1041,965
"0850144",943,696
"0850145",450,489
"0850151",437,498
"0850153",1543,1172
"0850158",672,815
"0850159",1348,1390
"0850165",395,204
"0850166",1228,1075
"0850168",800,339
"0850170",667,352
"0850174",1259,924
"0850175",625,353
"0850179",2462,761
"0850191",162,36
"0850193",389,86
"0850194",13,3
"0850195",438,85
"0850196",607,390
"0850198",58,17
"0850200",2,1
"0850210",431,537
"0850217",692,360
