CNTYVTD,PaddieR_18G_State Rep 9
"0670001",1390
"0670002",189
"0670004",163
"0670005",396
"0670006",262
"0670007",811
"0670009",434
"0670011",256
"0670012",334
"0670014",996
"0670015",307
"0670016",250
"0670017",1472
"0670018",292
"0670019",236
"0670021",146
"067013T",473
"067020E",124
"2030001",942
"2030002",370
"2030003",232
"2030004",603
"2030005",439
"2030006",657
"2030007",395
"2030008",1271
"2030009",560
"2030010",515
"2030011",200
"2030012",2341
"2030013",780
"2030014",642
"2030015",578
"2030016",280
"2030017",493
"2030018",418
"2030019",1501
"2030020",1044
"2030021",299
"2030022",457
"2030023",302
"2030024",265
"2030025",1778
"2030026",267
"3150001",204
"3150002",513
"3150003",241
"3150004",194
"3150005",320
"3150006",295
"3150007",181
"3150008",407
"3150009",181
"3150010",112
"3650001",889
"3650002",1018
"3650003",596
"3650005",266
"3650007",314
"3650008",102
"3650009",339
"3650010",153
"3650012",249
"3650013",143
"3650014",235
"3650018",1046
"3650019",181
"3650020",177
"3650022",115
"3650026",76
"3650027",356
"3650028",982
"3650029",188
"4030001",928
"4030002",751
"4030003",164
"4030004",131
"4030005",492
"4030006",802
"4030007",57
"4030008",149
"4190002",388
"4190003",162
"4190004",334
"4190005",938
"4190006",269
"4190007",322
"4190008",413
"419001N",590
"419001S",737
"419001W",211
"419009N",504
"419009S",427
"41901SE",324
"41901SW",592
