CNTYVTD,RomeroD_18G_State Rep 90
"4391011",330
"4391014",192
"4391015",444
"4391019",242
"4391061",50
"4391062",12
"4391066",268
"4391074",266
"4391075",300
"4391080",475
"4391082",194
"4391083",334
"4391085",233
"4391088",441
"4391098",613
"4391109",376
"4391120",1207
"4391132",620
"4391165",107
"4391198",129
"4391237",267
"4391273",731
"4391351",0
"4391408",74
"4391412",0
"4391416",51
"4391434",2
"4391455",0
"4391472",64
"4391473",33
"4391476",33
"4391477",384
"4391481",152
"4391482",269
"4391544",2
"4391550",19
"4391555",0
"4391576",75
"4391594",0
"4391597",218
"4391611",5
"4391617",11
"4391619",9
"4391625",0
"4391633",12
"4391672",0
"4391678",3
"4394017",857
"4394048",246
"4394050",434
"4394051",3
"4394057",192
"4394060",897
"4394067",516
"4394068",435
"4394087",207
"4394092",336
"4394093",619
"4394097",433
"4394107",348
"4394110",397
"4394122",522
"4394123",484
"4394155",861
"4394195",485
"4394201",407
"4394231",550
"4394233",510
"4394245",51
"4394256",299
"4394288",70
"4394312",55
"4394487",0
"4394493",352
"4394503",318
"4394512",0
"4394563",0
"4394572",17
"4394573",0
"4394593",73
"4394604",1
"4394615",0
"4394640",319
"4394682",118
"4394683",0
"4394686",0
"4394687",56
"4394690",4
"4394691",9
