CNTYVTD,KlickR_18G_State Rep 91,SimsD_18G_State Rep 91
"4393041",663,493
"4393049",1496,518
"4393063",1721,771
"4393131",651,327
"4393140",726,345
"4393164",647,386
"4393177",1171,424
"4393187",546,346
"4393194",690,401
"4393209",2050,628
"4393214",963,596
"4393215",1068,418
"4393287",892,519
"4393289",937,503
"4393324",877,437
"4393325",436,194
"4393326",283,175
"4393332",854,690
"4393333",1813,1015
"4393364",273,236
"4393367",725,399
"4393387",1046,375
"4393398",584,297
"4393406",0,0
"4393447",0,0
"4393507",826,537
"4393509",725,450
"4393527",1018,479
"4393570",962,639
"4393575",0,0
"4393582",28,1
"4393583",0,0
"4393584",0,0
"4393585",0,0
"4393661",0,0
"4393665",11,0
"4393667",57,19
"4394042",285,245
"4394141",764,592
"4394159",435,321
"4394191",432,218
"4394218",312,273
"4394234",1282,676
"4394261",757,764
"4394290",683,537
"4394328",375,299
"4394374",689,547
"4394399",98,33
"4394410",708,692
"4394528",1204,844
"4394533",465,292
"4394588",1371,937
"4394602",0,0
"4394620",7,17
"4394629",0,0
