CNTYVTD,SticklandR_18G_State Rep 92,RiddellD_18G_State Rep 92,EspinozaL_18G_State Rep 92
"4391382",251,860,33
"4391388",412,970,37
"4391404",7,11,0
"4391441",67,308,17
"4391547",0,0,0
"4391603",302,867,36
"4392158",788,647,28
"4392315",282,626,32
"4392316",424,538,28
"4392442",562,649,24
"4392571",0,0,0
"4393032",489,322,26
"4393036",487,553,55
"4393037",1079,676,46
"4393139",388,294,30
"4393156",752,345,21
"4393157",606,580,48
"4393160",541,557,40
"4393166",554,639,40
"4393172",771,636,51
"4393176",1094,805,50
"4393183",1026,1052,35
"4393196",935,505,37
"4393200",805,625,36
"4393212",507,566,38
"4393213",559,409,33
"4393216",1018,1032,46
"4393247",376,507,30
"4393248",1722,878,63
"4393249",976,993,57
"4393254",646,593,42
"4393260",612,357,33
"4393282",616,391,26
"4393283",671,415,28
"4393322",847,578,31
"4393327",623,424,24
"4393329",580,789,42
"4393334",618,635,37
"4393335",831,551,48
"4393336",685,1029,39
"4393368",360,178,7
"4393389",971,1211,54
"4393391",614,846,48
"4393433",286,134,7
"4393443",779,612,39
"4393446",0,0,0
"4393511",622,844,56
"4393516",878,516,35
"4393517",615,639,23
"4393566",0,2,0
"4393574",116,130,8
"4393590",0,0,0
"4393653",1,0,0
"4393663",2,2,0
"4393664",0,0,0
"4393669",2,1,0
