CNTYVTD,KrauseR_18G_State Rep 93,BeanD_18G_State Rep 93
"4391175",351,484
"4391197",1207,1339
"4391199",165,109
"4391380",368,489
"4391420",0,0
"4391430",1,3
"4391463",180,585
"4391564",0,0
"4391586",0,1
"4391589",43,69
"4391622",15,14
"4391623",0,0
"4391631",53,86
"4391701",278,350
"4392055",685,589
"4392100",142,142
"4392148",263,726
"4392190",78,97
"4392224",329,681
"4392228",989,584
"4392246",487,314
"4392274",2,0
"4392281",454,378
"4392309",239,421
"4392317",481,336
"4392402",6,2
"4392467",422,817
"4392536",503,606
"4392537",173,499
"4392561",0,0
"4392616",8,26
"4392655",170,368
"4392656",6,35
"4392657",4,10
"4392660",76,54
"4392680",0,0
"4393043",1385,478
"4393152",17,4
"4393240",890,536
"4393363A",675,267
"4393363B",480,189
"4393409",9,2
"4393465",1081,807
"4393552A",818,687
"4393552B",230,193
"4393560",0,0
"4393567",1541,456
"4393637",624,549
"4393647",1081,790
"4393654",0,0
"4393671",310,129
"4393695",1430,844
"4393698",1291,964
"4393700",606,356
"4394101",218,313
"4394102",228,261
"4394124",364,400
"4394162",105,138
"4394239",49,24
"4394250",845,711
"4394362",2,1
"4394452",1237,1156
"4394483",10,13
"4394485",86,85
"4394499",919,927
"4394508",1125,901
"4394540",844,733
"4394591",832,705
"4394596",13,42
"4394599",1563,1287
"4394632",0,0
"4394638",698,513
"4394694",1094,770
