CNTYVTD,TinderholtR_18G_State Rep 94,JonesD_18G_State Rep 94,PallettL_18G_State Rep 94
"4392003",323,256,31
"4392007",872,487,44
"4392026",657,504,62
"4392028",510,280,28
"4392030",371,1265,47
"4392052",479,797,72
"4392058",0,0,0
"4392112",865,384,31
"4392143",161,210,26
"4392147",385,324,51
"4392161",272,587,42
"4392168",511,663,71
"4392171",966,656,76
"4392173",452,209,22
"4392174",826,682,42
"4392181",918,705,70
"4392205",897,587,77
"4392217",553,865,76
"4392219",822,689,52
"4392220",1000,662,50
"4392223",862,332,37
"4392226",297,597,32
"4392229",643,572,70
"4392266",1103,715,57
"4392267",293,666,36
"4392268",266,371,20
"4392280",533,466,42
"4392303",794,559,53
"4392304",896,541,25
"4392306",817,419,46
"4392307",1459,1104,75
"4392310",580,489,49
"4392313",851,545,50
"4392314",1276,716,69
"4392318",665,393,44
"4392319",909,537,45
"4392356",896,877,30
"4392358",900,534,43
"4392393",72,129,6
"4392401",93,69,4
"4392403",2,7,0
"4392419",0,0,0
"4392451",9,55,4
"4392464",168,124,10
"4392468",823,624,46
"4392505",600,329,32
"4392513",0,0,0
"4392519",192,413,23
"4392520",598,526,40
"4392521",415,320,31
"4392522",1348,944,68
"4392535",761,405,33
"4392553",253,506,27
"4392556",693,458,46
"4392581",461,782,58
"4392609",0,0,0
"4392658",58,165,3
"4392670",22,44,6
