CNTYVTD,WestR_18G_State Rep 95,CollierD_18G_State Rep 95,BurnsL_18G_State Rep 95
"4391001",468,560,28
"4391005",20,333,2
"4391008",4,106,4
"4391010",23,117,4
"4391012",447,765,31
"4391013",125,1002,14
"4391025",261,641,19
"4391056",21,111,4
"4391059",18,191,2
"4391064",0,0,0
"4391078",12,342,4
"4391079",19,431,3
"4391084",0,0,0
"4391089",15,563,2
"4391090",23,511,7
"4391099",84,244,6
"4391104",97,1164,13
"4391106",12,896,8
"4391126",280,711,18
"4391127",25,707,3
"4391146",439,905,22
"4391149",199,874,14
"4391150",219,582,8
"4391151",241,396,13
"4391153",42,811,8
"4391154",30,168,5
"4391170",480,974,32
"4391184",176,275,9
"4391188",7,272,0
"4391189",656,762,31
"4391211",42,864,11
"4391227",576,1646,39
"4391236",128,223,16
"4391244",67,33,0
"4391257",262,536,16
"4391270",136,167,8
"4391277A",417,431,27
"4391277B",0,0,0
"4391278",164,872,22
"4391279",312,882,21
"4391291",33,981,8
"4391293",79,541,7
"4391295",116,304,5
"4391297",45,1173,13
"4391300",349,874,25
"4391301",118,879,9
"4391311",220,812,18
"4391346",18,401,1
"4391376",0,6,1
"4391407",12,28,0
"4391414",5,21,0
"4391415",107,472,12
"4391427",0,2,1
"4391437",238,229,11
"4391439",6,47,2
"4391440",184,785,15
"4391444",8,27,0
"4391460",231,950,21
"4391479",17,67,2
"4391489",228,736,23
"4391490",78,203,7
"4391491",1,0,0
"4391514",0,0,0
"4391518",83,298,7
"4391543",0,0,0
"4391549",0,0,0
"4391559",31,85,3
"4391577",53,419,5
"4391578",154,564,11
"4391605",0,0,0
"4391607",0,0,0
"4391610",0,0,0
"4391621",17,39,1
"4391628",0,0,0
"4391651",0,0,0
"4391652",0,79,1
"4391677",6,9,3
"4391679",0,0,0
"4392600",0,0,0
"4392601",0,0,0
"4392606",0,8,0
"4394006",78,330,11
"4394253",119,137,10
"4394370",0,0,0
"4394432",3,11,1
"4394458",3,1,0
"4394492",184,300,28
"4394494",1,0,0
"4394495",26,44,1
"4394587",1,92,0
