CNTYVTD,ZedlerR_18G_State Rep 96,RayD_18G_State Rep 96,ParmerL_18G_State Rep 96
"4391023",1275,1225,63
"4391024",1036,629,30
"4391034",1403,408,25
"4391103",598,295,9
"4391251",292,1421,30
"4391255",535,1163,26
"4391271",1138,427,33
"4391294",1373,927,39
"4391345",92,99,2
"4391347",1170,1593,53
"4391352",267,113,6
"4391378",432,1387,26
"4391394",0,0,0
"4391418",0,0,0
"4391431",792,318,13
"4391436",190,297,8
"4391501",108,166,7
"4391504",906,222,28
"4391515",9,7,1
"4391627",115,49,7
"4391639",396,1643,35
"4391641",940,1506,54
"4391642",291,901,16
"4391704",733,416,22
"4392029",1622,949,68
"4392033",551,497,33
"4392221",1326,1412,53
"4392258",246,107,4
"4392262",406,154,16
"4392305",591,471,21
"4392308",892,698,27
"4392355",504,367,24
"4392357",1163,719,27
"4392360",1351,598,28
"4392425",748,905,34
"4392426",872,506,24
"4392435",769,745,32
"4392474",159,57,5
"4392506",1494,1122,83
"4392524",1205,343,28
"4392525",423,1149,38
"4392548",704,275,25
"4392557",179,470,20
"4392614",75,117,2
"4392636",806,532,40
"4392643",1048,1685,45
"4392645",860,406,25
"4392697",613,864,21
