CNTYVTD,GoldmanR_18G_State Rep 97,McLaughlinD_18G_State Rep 97,WingoL_18G_State Rep 97
"4391004",652,621,28
"4391009",466,328,13
"4391021",1161,565,35
"4391022",397,337,13
"4391071",350,759,26
"4391076",306,431,14
"4391081",268,148,5
"4391095",380,207,9
"4391105",555,522,19
"4391108",563,531,28
"4391111",1277,348,30
"4391117",623,557,25
"4391119",905,1634,44
"4391133",444,611,17
"4391142",377,388,21
"4391167",411,458,31
"4391186",292,106,3
"4391206",996,523,37
"4391207",577,752,21
"4391208",1955,927,53
"4391238",529,1000,24
"4391241",33,80,3
"4391264",564,502,20
"4391265",486,724,19
"4391292",164,607,17
"4391296",848,663,34
"4391298",618,725,41
"4391337",984,464,26
"4391339",934,690,35
"4391348",387,124,8
"4391366",0,0,0
"4391377",1118,1208,35
"4391423",1416,541,29
"4391424",10,7,0
"4391445",17,34,3
"4391457",2,1,0
"4391459",226,738,20
"4391608",231,343,17
"4394069",1671,979,51
"4394070",707,675,28
"4394077",80,114,4
"4394096",197,484,17
"4394118",340,393,14
"4394129",488,282,21
"4394130",1154,604,24
"4394135",342,326,13
"4394136",492,618,35
"4394163",467,362,17
"4394179",275,343,11
"4394182",1236,787,32
"4394203",350,538,15
"4394230",1309,932,42
"4394342",892,625,26
"4394343",851,392,21
"4394369",1294,741,60
"4394456",462,253,14
"4394475",11,32,0
"4394478",0,0,0
"4394480",397,139,12
"4394497",349,702,24
"4394498",285,140,5
"4394630",0,0,0
