CNTYVTD,CapriglioneR_18G_State Rep 98,RingoD_18G_State Rep 98,MooreL_18G_State Rep 98
"4393035",1717,764,55
"4393038",1012,817,54
"4393039",1852,802,59
"4393040",1257,533,46
"4393054",1428,703,54
"4393072",1277,415,38
"4393114",1090,530,55
"4393185",1,0,0
"4393192",396,85,6
"4393193",1644,519,39
"4393286",449,119,10
"4393321",1665,1076,105
"4393323",1799,637,61
"4393330",598,208,16
"4393331",2170,695,58
"4393359",1004,429,25
"4393361",1170,652,56
"4393365",2087,661,33
"4393372",1209,669,59
"4393384",583,419,34
"4393385",1412,610,62
"4393386",2129,737,73
"4393390",2010,698,65
"4393392",1133,381,30
"4393396",1288,803,54
"4393417",776,437,36
"4393421",733,242,28
"4393422",2225,637,57
"4393469",491,316,13
"4393470",63,21,2
"4393471",939,277,22
"4393486",1803,993,80
"4393500",207,56,6
"4393502",848,210,26
"4393510",1561,513,54
"4393526",651,238,16
"4393529",1111,475,33
"4393530",1152,615,50
"4393538",1643,757,44
"4393539",6,2,0
"4393542",933,534,61
"4393545",1241,444,34
"4393554",1470,517,38
"4393558",1747,615,25
"4393562",78,21,3
"4393579",456,131,13
"4393580",0,0,0
"4393624",125,77,6
"4393626",364,121,7
"4393646",1056,660,64
"4393648",1260,738,70
"4393662",5,0,0
"4393668",200,54,3
"4393696",1269,754,69
