CNTYVTD,GerenR_18G_State Rep 99,StackhouseD_18G_State Rep 99
"4391094",298,573
"4391674",0,0
"4391676",50,102
"4391684",130,151
"4394016",538,483
"4394018",366,179
"4394020",445,296
"4394044A",1599,569
"4394044B",29,10
"4394045",1197,405
"4394046",1710,453
"4394047",1309,312
"4394053",397,242
"4394065",1670,402
"4394073",124,100
"4394086",1290,439
"4394091",839,427
"4394113",128,54
"4394115",392,64
"4394116",864,579
"4394121",785,499
"4394125",126,129
"4394128",874,485
"4394137",631,315
"4394138",181,165
"4394144",567,279
"4394178",1162,669
"4394202",383,385
"4394204",971,693
"4394222",255,273
"4394232",1013,1071
"4394242",270,89
"4394243",435,362
"4394252",323,295
"4394259",556,160
"4394272",198,106
"4394276",717,484
"4394284",119,33
"4394285",107,163
"4394338",1044,805
"4394340",922,288
"4394344",652,319
"4394350",425,486
"4394371",1240,262
"4394373",110,38
"4394375",1140,464
"4394395",244,69
"4394397",113,84
"4394400",84,65
"4394429",483,344
"4394454",796,443
"4394496",99,192
"4394531",1021,504
"4394532",622,146
"4394534",1191,735
"4394551",1205,710
"4394565",14,8
"4394568",21,8
"4394592",0,0
"4394595",19,16
"4394598",0,0
"4394634",425,434
"4394649",1125,525
"4394650",801,607
"4394666",0,0
"4394685",0,0
"4394688",12,11
"4394689",43,43
"4394692",2,9
"4394693",1,2
"4394702",511,332
"4394703",635,667
