CNTYVTD,BurtonR_18G_State Sen 10,PowellD_18G_State Sen 10
"4391001",473,582
"4391004",658,647
"4391005",26,329
"4391008",4,109
"4391010",24,120
"4391011",33,317
"4391012",473,773
"4391013",148,991
"4391014",111,168
"4391019",64,230
"4391021",1192,587
"4391022",420,332
"4391023",1314,1258
"4391024",1044,660
"4391025",282,640
"4391034",1425,411
"4391056",26,108
"4391059",19,192
"4391061",6,48
"4391062",8,13
"4391066",121,255
"4391071",379,761
"4391074",22,259
"4391075",53,292
"4391076",290,464
"4391078",11,345
"4391079",25,430
"4391080",28,469
"4391081",250,173
"4391082",108,174
"4391083",60,321
"4391084",0,0
"4391085",119,219
"4391088",87,430
"4391089",20,558
"4391090",24,516
"4391095",345,251
"4391098",43,608
"4391099",92,245
"4391103",607,290
"4391104",112,1159
"4391105",571,531
"4391106",21,891
"4391108",553,574
"4391109",107,358
"4391111",1298,369
"4391117",629,578
"4391119",921,1665
"4391126",304,703
"4391127",30,706
"4391132",27,614
"4391133",453,613
"4391142",387,402
"4391146",467,902
"4391149",208,878
"4391150",222,584
"4391153",50,808
"4391154",37,168
"4391165",50,95
"4391167",445,460
"4391170",507,982
"4391175",345,491
"4391184",186,270
"4391186",305,105
"4391188",11,263
"4391189",689,770
"4391206",1022,539
"4391207",583,771
"4391208",2000,966
"4391211",43,868
"4391237",106,253
"4391238",555,998
"4391241",35,82
"4391244",68,32
"4391251",309,1436
"4391255",550,1184
"4391257",281,534
"4391264",597,493
"4391265",502,738
"4391270",142,168
"4391271",1152,443
"4391273",331,684
"4391278",180,873
"4391279",324,893
"4391291",40,979
"4391292",173,615
"4391293",88,538
"4391294",1384,949
"4391295",126,293
"4391296",848,691
"4391297",49,1182
"4391298",630,759
"4391300",374,878
"4391301",136,864
"4391311",234,817
"4391337",1013,470
"4391339",937,727
"4391345",93,98
"4391346",17,401
"4391347",1203,1634
"4391348",392,132
"4391351",0,0
"4391352",267,121
"4391366",0,0
"4391376",0,7
"4391377",1128,1238
"4391378",445,1401
"4391380",373,492
"4391394",0,0
"4391407",12,28
"4391408",28,66
"4391412",0,0
"4391414",5,21
"4391415",116,471
"4391416",42,50
"4391418",0,0
"4391420",0,0
"4391423",1419,584
"4391424",11,6
"4391427",0,3
"4391431",784,343
"4391434",3,0
"4391436",193,303
"4391439",8,47
"4391440",197,784
"4391444",8,27
"4391445",16,36
"4391455",0,0
"4391457",2,1
"4391459",239,746
"4391473",13,32
"4391476",13,32
"4391477",50,375
"4391479",19,67
"4391481",25,150
"4391482",34,258
"4391489",252,741
"4391490",80,208
"4391491",1,0
"4391501",114,169
"4391504",910,246
"4391514",0,0
"4391515",10,7
"4391518",89,299
"4391543",0,0
"4391544",0,2
"4391547",0,0
"4391549",0,0
"4391550",0,20
"4391555",1,1
"4391559",31,88
"4391576",3,75
"4391577",62,414
"4391578",168,559
"4391586",0,1
"4391589",44,68
"4391594",0,0
"4391597",35,210
"4391605",0,0
"4391607",0,0
"4391608",237,360
"4391610",0,0
"4391611",4,4
"4391617",4,10
"4391619",2,9
"4391621",18,38
"4391627",121,49
"4391628",0,0
"4391631",55,89
"4391633",6,12
"4391639",409,1667
"4391641",980,1530
"4391642",296,911
"4391651",0,0
"4391652",0,77
"4391672",0,0
"4391677",9,9
"4391678",1,4
"4391679",0,0
"4391704",748,430
"4392003",352,265
"4392007",894,524
"4392026",690,543
"4392028",542,287
"4392029",1669,977
"4392030",401,1289
"4392033",570,510
"4392052",509,841
"4392055",686,596
"4392058",0,0
"4392112",878,407
"4392171",997,722
"4392173",455,235
"4392174",834,721
"4392181",944,756
"4392205",943,624
"4392217",578,914
"4392219",854,717
"4392220",1025,699
"4392221",1342,1465
"4392223",900,346
"4392228",966,630
"4392229",668,617
"4392246",488,325
"4392258",250,106
"4392262",416,156
"4392266",1135,750
"4392280",570,489
"4392281",438,394
"4392303",813,603
"4392304",904,570
"4392305",591,494
"4392306",838,451
"4392307",1486,1161
"4392308",907,717
"4392310",623,510
"4392313",876,577
"4392314",1288,771
"4392317",481,345
"4392318",661,443
"4392319",928,568
"4392355",520,380
"4392356",895,911
"4392357",1183,733
"4392358",919,562
"4392360",1353,632
"4392405",649,1605
"4392419",0,0
"4392425",752,938
"4392426",884,524
"4392435",788,760
"4392451",8,59
"4392462",256,636
"4392464",174,127
"4392468",836,657
"4392474",162,61
"4392505",614,356
"4392506",1545,1152
"4392519",199,428
"4392520",612,558
"4392521",428,337
"4392522",1391,976
"4392524",1203,374
"4392525",439,1172
"4392535",774,430
"4392548",709,296
"4392556",713,487
"4392557",193,478
"4392581",481,823
"4392600",0,0
"4392601",0,0
"4392606",0,8
"4392609",0,0
"4392612",0,0
"4392618",10,24
"4392636",814,559
"4392643",1075,1709
"4392645",872,432
"4392670",22,50
"4392697",627,871
"4393183",1071,1035
"4393193",1621,592
"4393212",553,557
"4393248",1839,832
"4393249",1037,981
"4393283",724,387
"4393322",935,526
"4393323",1797,711
"4393330",578,238
"4393331",2170,768
"4393334",685,603
"4393359",971,484
"4393390",1938,852
"4393409",9,2
"4393421",739,267
"4393443",841,579
"4393447",0,0
"4393510",1536,602
"4393516",965,466
"4393517",642,637
"4393526",642,266
"4393538",1611,841
"4393558",1691,696
"4393574",113,142
"4393580",0,0
"4393582",28,1
"4393624",127,83
"4393662",5,1
"4393663",2,2
"4394006",90,328
"4394017",181,839
"4394048",54,240
"4394050",60,422
"4394051",1,3
"4394057",237,191
"4394060",285,889
"4394067",104,500
"4394068",91,417
"4394069",1726,983
"4394070",714,705
"4394073",125,102
"4394077",78,124
"4394087",35,197
"4394092",58,317
"4394093",124,605
"4394096",200,500
"4394097",126,411
"4394101",214,318
"4394107",70,329
"4394110",90,386
"4394122",111,491
"4394123",102,469
"4394124",367,400
"4394130",1096,683
"4394155",271,804
"4394163",468,389
"4394182",1166,893
"4394195",92,467
"4394201",69,400
"4394230",1324,954
"4394231",106,527
"4394233",114,489
"4394253",132,134
"4394256",70,278
"4394288",14,68
"4394312",17,54
"4394343",807,454
"4394369",1340,774
"4394370",0,0
"4394397",113,83
"4394432",3,12
"4394458",3,1
"4394475",11,33
"4394478",0,0
"4394480",396,156
"4394487",0,0
"4394492",195,318
"4394493",365,316
"4394494",1,0
"4394495",28,43
"4394496",95,196
"4394498",272,159
"4394503",158,284
"4394512",0,0
"4394565",14,9
"4394568",19,10
"4394572",5,17
"4394573",0,0
"4394587",0,93
"4394598",0,0
"4394615",0,0
"4394630",0,0
"4394634",385,480
"4394640",137,293
"4394683",0,0
"4394685",0,0
"4394686",0,0
"4394688",11,12
"4394689",42,47
