CNTYVTD,HindmanR_18G_State Sen 14,WatsonD_18G_State Sen 14,VerlanderL_18G_State Sen 14
"0211001",1068,840,60
"0211002",589,749,50
"0211003",1938,1580,98
"0211004",562,589,36
"0212005",792,743,33
"0212006",535,322,19
"0212007",889,375,35
"0212008",375,220,16
"0212009",397,308,34
"0212010",518,268,23
"0212011",821,631,52
"0213012",361,161,27
"0213013",527,349,31
"0213014",570,613,43
"0213015",446,757,38
"0213016",775,690,44
"0214017",557,864,40
"0214018",243,157,12
"0214019",738,680,44
"0214020",828,1115,66
"0214021",440,290,39
"4530101",458,3021,96
"4530102",112,556,17
"4530103",235,713,24
"4530104",211,563,26
"4530105",1072,4013,171
"4530106",867,1281,61
"4530107",146,105,6
"4530108",133,803,41
"4530109",347,1099,44
"4530110",1201,2962,129
"4530111",649,2129,81
"4530112",179,710,26
"4530113",880,3197,124
"4530114",51,104,3
"4530115",0,0,0
"4530116",0,0,0
"4530117",126,1501,39
"4530118",28,327,10
"4530119",0,0,0
"4530120",31,56,1
"4530121",43,560,18
"4530122",83,1693,38
"4530123",1367,2571,123
"4530124",214,3073,116
"4530125",0,0,0
"4530126",200,3395,95
"4530127",0,1,0
"4530128",0,0,0
"4530129",84,1579,42
"4530130",108,1243,36
"4530131",0,1,0
"4530132",125,1698,37
"4530133",148,1463,49
"4530134",0,0,0
"4530135",593,4952,137
"4530136",733,1208,54
"4530137",2593,4049,168
"4530139",285,1628,73
"4530140",164,947,34
"4530141",49,234,7
"4530142",55,670,22
"4530145",408,1173,47
"4530146",692,1180,49
"4530148",707,1884,81
"4530149",105,1251,44
"4530150",624,787,48
"4530151",145,1454,38
"4530152",129,2713,51
"4530153",632,2574,116
"4530154",476,1736,81
"4530156",414,3250,115
"4530160",366,837,37
"4530161",367,725,22
"4530163",128,84,7
"4530164",138,831,29
"4530200",362,3624,120
"4530202",277,2281,83
"4530203",167,473,18
"4530205",318,1360,58
"4530206",181,1008,45
"4530207",854,2449,113
"4530208",587,3948,101
"4530209",96,485,16
"4530210",351,947,28
"4530211",243,925,47
"4530212",1437,1672,49
"4530213",0,0,0
"4530214",584,1423,41
"4530215",377,1114,40
"4530216",272,993,33
"4530217",241,1143,50
"4530218",784,3081,162
"4530219",533,1301,55
"4530220",417,950,28
"4530221",308,399,21
"4530222",341,1413,45
"4530223",61,291,13
"4530224",11,86,3
"4530225",608,1942,77
"4530226",251,1058,36
"4530227",131,371,7
"4530228",392,1003,39
"4530229",331,960,70
"4530231",663,1494,46
"4530232",2466,2269,115
"4530233",1119,1576,62
"4530234",841,806,34
"4530235",243,2160,76
"4530236",306,2159,59
"4530237",470,1213,23
"4530238",455,1652,68
"4530239",308,1627,44
"4530240",166,632,32
"4530241",204,1341,50
"4530242",546,3945,156
"4530243",266,1212,47
"4530244",1145,1555,81
"4530245",348,448,24
"4530246",374,1015,39
"4530247",214,386,11
"4530248",287,1505,48
"4530249",573,1666,66
"4530250",655,3178,115
"4530251",558,1796,80
"4530252",398,1566,64
"4530253",760,1517,49
"4530254",549,1603,68
"4530256",562,1017,35
"4530258",435,1277,62
"4530259",500,1540,66
"4530260",112,586,23
"4530262",773,2550,100
"4530263",477,1633,68
"4530266",158,240,8
"4530267",264,786,32
"4530268",152,619,33
"4530273",374,1944,59
"4530274",211,1892,48
"4530275",203,2420,50
"4530277",1019,4279,129
"4530301",219,703,30
"4530305",4,6,0
"4530307",382,692,23
"4530309",505,1321,58
"4530311",552,3354,109
"4530313",38,305,4
"4530317",778,1272,48
"4530318",215,420,13
"4530321",183,371,5
"4530323",242,1092,33
"4530325",21,66,2
"4530326",455,1063,31
"4530327",775,1415,55
"4530328",715,1943,83
"4530329",832,2298,115
"4530330",991,1183,52
"4530331",593,1313,48
"4530332",207,1926,62
"4530333",695,1344,38
"4530334",894,1189,40
"4530335",557,1098,29
"4530336",535,1028,38
"4530337",917,1995,84
"4530338",1400,2300,93
"4530339",307,974,49
"4530340",427,2133,94
"4530341",83,175,8
"4530342",472,3106,113
"4530343",487,1107,55
"4530344",236,1045,48
"4530345",0,0,0
"4530347",689,1293,46
"4530350",644,2253,73
"4530351",235,887,39
"4530352",415,1956,87
"4530354",1058,2164,83
"4530356",241,1094,73
"4530357",161,296,15
"4530358",665,2552,113
"4530360",782,2190,76
"4530364",980,1718,55
"4530369",1781,1312,59
"4530370",544,393,54
"4530371",1203,746,48
"4530372",679,534,45
"4530373",2400,1236,96
"4530374",2079,2177,115
"4530375",358,292,20
"4530407",218,1369,47
"4530409",150,1316,52
"4530412",13,67,3
"4530415",153,682,36
"4530421",231,1730,60
"4530422",141,1438,46
"4530424",202,1574,57
"4530426",136,1710,50
"4530427",100,1473,66
"4530428",295,823,29
"4530430",69,867,33
"4530432",0,1,0
"4530433",183,1898,66
"4530434",0,1,0
"4530435",785,3035,139
"4530436",12,216,4
"4530437",172,1522,63
"4530438",90,841,33
"4530439",163,2214,75
"4530442",108,897,30
"4530444",6,105,2
"4530454",268,1131,36
"4530458",447,2060,84
"4530460",312,2009,70
"4530461",410,3054,130
