CNTYVTD,OrrR_18G_State Sen 15,WhitmireD_18G_State Sen 15,VelsquezL_18G_State Sen 15
"2010003",335,773,45
"2010004",349,915,49
"2010005",316,746,36
"2010028",894,802,39
"2010030",469,1374,63
"2010032",499,1298,87
"2010033",662,1861,84
"2010034",320,1703,72
"2010035",1,2,0
"2010037",480,1367,57
"2010038",549,1609,67
"2010039",447,1771,48
"2010040",147,239,6
"2010043",381,642,30
"2010052",586,1098,72
"2010053",698,1425,83
"2010054",464,716,30
"2010055",567,1203,62
"2010057",738,1655,71
"2010058",771,1426,86
"2010059",648,1299,47
"2010060",370,1619,57
"2010063",735,220,21
"2010070",1272,1421,61
"2010071",1447,2151,155
"2010073",448,622,36
"2010075",454,821,48
"2010080",273,1004,30
"2010086",891,1570,73
"2010108",685,798,32
"2010109",34,1111,8
"2010113",690,792,34
"2010117",249,542,41
"2010122",33,790,14
"2010123",175,774,27
"2010147",187,1277,18
"2010157",45,894,14
"2010164",16,511,5
"2010165",771,669,41
"2010169",29,964,7
"2010179",395,614,40
"2010189",479,580,27
"2010192",45,773,15
"2010195",47,762,18
"2010197",28,1076,12
"2010200",994,1642,58
"2010204",1020,1342,70
"2010220",518,307,29
"2010229",82,240,13
"2010250",14,345,4
"2010251",87,894,13
"2010259",32,1151,18
"2010262",1064,1110,72
"2010264",696,840,54
"2010270",984,1252,65
"2010283A",361,2371,77
"2010283B",2,24,0
"2010299",166,453,21
"2010310",517,374,23
"2010313",13,13,0
"2010322",132,324,8
"2010323",298,594,25
"2010324",942,865,52
"2010327",27,698,8
"2010330",453,710,39
"2010334",56,246,7
"2010342",74,346,10
"2010353",323,1661,53
"2010354",375,1316,34
"2010363",720,1405,57
"2010364",588,874,50
"2010365",82,782,14
"2010366",251,1024,38
"2010367",115,453,17
"2010368",116,343,8
"2010376",339,592,26
"2010380",1380,1722,70
"2010382",303,217,17
"2010383",281,715,33
"2010386",1211,559,35
"2010387",1330,691,39
"2010388",1406,1816,80
"2010407",1199,1058,64
"2010410",64,333,8
"2010413",627,1128,34
"2010414",1191,485,33
"2010421",534,788,27
"2010424",336,390,11
"2010444",1039,1077,46
"2010445",646,594,34
"2010446",32,79,2
"2010447",1627,1249,82
"2010448",997,1058,72
"2010449",4,66,0
"2010450",299,975,27
"2010456",779,764,26
"2010457",0,0,0
"2010460",368,1416,57
"2010467",127,483,15
"2010468",396,1389,56
"2010493A",560,1092,49
"2010493B",0,0,0
"2010494",143,1131,37
"2010496",307,796,36
"2010498",392,839,38
"2010501",468,1053,58
"2010505",798,1392,85
"2010516",649,804,38
"2010520",251,1596,41
"2010528",1,28,0
"2010532",328,196,9
"2010549",134,1083,27
"2010576",65,1162,20
"2010577",591,552,29
"2010578",689,640,39
"2010592",130,531,19
"2010593",819,1286,68
"2010594",329,1027,34
"2010597",489,1000,43
"2010599",479,1108,46
"2010609",1296,1142,58
"2010610",334,642,33
"2010613",161,958,33
"2010614",590,1578,44
"2010628",357,745,33
"2010629",20,160,4
"2010657",239,537,18
"2010660",148,1565,21
"2010661",1046,1327,68
"2010663",643,913,51
"2010666",0,0,0
"2010678",96,1114,14
"2010680",34,75,5
"2010689",462,788,42
"2010697",348,1174,38
"2010698",151,1333,22
"2010701",86,157,14
"2010705",37,306,7
"2010707",231,198,19
"2010710",600,795,40
"2010717",117,903,19
"2010723",169,802,27
"2010725",379,655,26
"2010729",124,132,7
"2010737",16,10,0
"2010738",87,399,8
"2010739",445,637,32
"2010756",242,576,25
"2010757",289,1903,57
"2010764A",568,508,23
"2010764B",841,756,30
"2010767",16,23,1
"2010769",9,67,1
"2010776",858,770,54
"2010783",20,264,8
"2010799",9,66,1
"2010802",4,12,0
"2010808",51,191,9
"2010809",19,9,0
"2010818",46,201,10
"2010825",4,5,2
"2010834",16,123,1
"2010836",9,126,2
"2010840",277,604,21
"2010841",357,1311,37
"2010847",227,906,34
"2010848",262,791,32
"2010855",4,1,0
"2010859",88,358,10
"2010861",131,771,13
"2010868",231,742,31
"2010870",0,0,0
"2010873",80,283,6
"2010883",333,2159,69
"2010884",21,143,3
"2010885",860,822,35
"2010886",210,280,10
"2010887",103,194,14
"2010888",300,746,28
"2010894",124,893,26
"2010895",195,426,9
"2010896",340,860,31
"2010902",738,1018,64
"2010905",143,262,17
"2010911",168,126,11
"2010918",1,1,0
"2010922",0,0,0
"2010927",501,683,36
"2010935",6,10,0
"2010960",167,772,28
"2010961",126,795,25
"2010963",116,208,10
"2010964",1332,1245,58
"2010965",80,30,3
"2010966",111,354,13
"2010967",12,60,4
"2010968",119,571,18
"2010971",0,0,0
"2010973",347,307,19
"2010975",51,67,3
"2010976",123,146,11
"2010977",78,152,7
"2010979",0,0,0
"2010981",0,15,0
"2010987",40,475,12
"2010990",7,5,0
"2010993",0,0,0
"2011003",0,0,0
"2011004",167,259,16
"2011007",172,719,22
"2011011",8,8,0
"2011012",187,555,21
