CNTYVTD,HuffinesR_18G_State Sen 16,JohnsonD_18G_State Sen 16
"1131000",40,245
"1131001",68,288
"1131002",79,459
"1131004",474,602
"1131005",541,1052
"1131006",669,602
"1131007",185,127
"1131008",250,586
"1131009",78,384
"1131010",176,731
"1131011",50,261
"1131012",95,116
"1131013",946,1499
"1131020",352,575
"1131021",383,709
"1131022",617,1852
"1131032",203,278
"1131033",374,439
"1131035",33,87
"1131038",136,720
"1131039",10,108
"1131040",414,1016
"1131041",30,271
"1131042",37,388
"1131043",732,753
"1131044",806,762
"1131049",619,881
"1131117",802,978
"1131126",67,294
"1131128",353,174
"1131700",359,644
"1131701",428,545
"1131702",545,861
"1131703",462,876
"1131704",255,449
"1131705",400,638
"1131706",444,891
"1131707",49,152
"1131708",126,185
"1131710",75,580
"1131711",328,670
"1131712A",589,556
"1131712B",0,0
"1131727",44,72
"1131728",320,399
"1131730",0,0
"1131731",0,0
"1132000",1,0
"1132001",3,11
"1132002",355,489
"1132003",1001,973
"1132004",697,580
"1132005",309,401
"1132006",582,516
"1132007",1269,931
"1132008",650,482
"1132009",661,811
"1132010",501,520
"1132011",808,671
"1132012",610,603
"1132013",536,367
"1132014",246,139
"1132015",338,371
"1132016",1429,1034
"1132017",298,598
"1132018",353,280
"1132019",684,598
"1132020",743,1047
"1132021",1586,1097
"1132022",281,254
"1132023",459,450
"1132024",507,545
"1132025",1099,791
"1132026",1416,745
"1132027",746,452
"1132028A",0,0
"1132028B",0,0
"1132029",818,428
"1132030",1037,373
"1132031",829,1359
"1132032",395,726
"1132033",583,743
"1132034",642,501
"1132035",411,582
"1132036",882,824
"1132037",312,351
"1132038",900,1332
"1132039",744,1175
"1132040",576,657
"1132041",1667,1236
"1132042",960,1195
"1132043",684,864
"1132044",330,368
"1132045",577,771
"1132046",728,598
"1132047",816,830
"1132048",859,1354
"1132049",509,589
"1132050",550,564
"1132051",875,878
"1132052",638,388
"1132053",374,926
"1132054",354,1007
"1132055",193,481
"1132056",537,393
"1132057",218,160
"1132058",352,408
"1132059",454,412
"1132060",1058,863
"1132061",975,1034
"1132062",766,804
"1132063",297,250
"1132064",585,765
"1132066",601,512
"1132067",408,536
"1132068",578,1034
"1132069",968,1157
"1132070",457,547
"1132071",722,758
"1132072",855,1246
"1132074",77,181
"1132076",0,0
"1132077",437,454
"1132078",0,0
"1132079",192,712
"1132200",963,417
"1132201",864,423
"1132202",975,426
"1132203",752,389
"1132220",979,315
"1132221",1808,691
"1132222",1524,603
"1132223",717,435
"1132224",566,618
"1132225",806,396
"1132226",1317,615
"1132300",262,523
"1132301",943,681
"1132302",207,669
"1132303",634,866
"1132305",1026,1183
"1132306",388,467
"1132307",198,242
"1132308",54,122
"1132309",166,339
"1132310",738,655
"1132311",69,143
"1132312",5,23
"1132400",69,22
"1132401",1062,1093
"1132402",824,1034
"1132403",2,0
"1132404",400,665
"1132405",1185,1082
"1132406",757,1147
"1132407",855,1275
"1132408",281,511
"1132409",344,823
"1132410",343,591
"1132411",90,262
"1132601",333,777
"1132602",499,1153
"1132603",572,1257
"1132604",512,1127
"1132605",388,1063
"1132606",0,0
"1132700",798,1128
"1132701",1287,1292
"1132702",2028,1255
"1132703",251,364
"1132704",633,1138
"1132705",385,721
"1132706",794,784
"1132707",803,1001
"1132708",1335,1294
"1132709",429,356
"1132710",629,769
"1132711",649,762
"1132712",866,1350
"1132715",713,913
"1132716",322,542
"1132717",2,0
"1132800",0,0
"1132801",1261,974
"1132802",1578,1280
"1132803",578,368
"1132804",858,710
"1132805",1395,1309
"1132806",862,777
"1132807A",793,741
"1132807B",0,0
"1132808",1034,879
"1132809",755,957
"1132810A",10,3
"1132810B",0,0
"1132900",1014,929
"1132901",234,560
"1132902",371,767
"1132903",514,769
"1132904",2,1
"1132905",222,131
"1132910",12,12
"1132911",68,73
"1132920",997,1049
"1132921",1365,1198
"1132922",1786,1538
"1132923",1074,971
"1132924",571,602
"1132925",1271,767
"1132926",608,565
"1132927",1533,1589
"1132928",1277,634
"1132929",414,359
"1133000",890,1227
"1133086",833,1206
"1134000A",55,149
"1134000B",0,0
"1134000C",0,0
"1134001A",111,483
"1134001B",0,0
"1134001C",0,0
"1134002",239,422
"1134003A",17,105
"1134003B",0,0
"1134004",225,675
"1134005",167,341
"1134006A",258,523
"1134006B",0,0
"1134007",58,77
"1134008",26,198
"1134009",80,630
"1134010",303,535
"1134011",89,338
"1134012",16,33
"1134013",114,121
"1134014",701,633
"1134018",272,479
"1134087A",58,313
"1134087B",0,0
"1134088",12,139
"1134092",32,69
"1134094",90,206
"1134095",9,19
"1134096",3,2
"1134097A",136,406
"1134097B",0,0
"1134098",15,19
"1134099",387,318
"1134119",1,1
"1134120",26,203
"1134121",0,0
"1134125",0,0
"1134617",52,52
"1134621",386,1451
"1134622",400,662
"1134623",452,780
"1134624",430,481
"1134625",619,625
"1134626",837,765
"1134627A",996,1425
"1134627B",0,0
"1134628",167,704
"1134629",196,426
"1134630",443,465
"1134631",371,382
"1134632",232,686
"1134633",122,289
"1134634",816,967
"1134635",233,572
"1134636",0,6
"1134637",676,1295
"1134639",85,215
"1134640",346,955
"1134641",115,168
"1134642",31,43
"1134644",33,131
"1134645",3,2
"1134646",108,117
"1134647",1038,1140
"1134648",222,692
"1134662",38,79
"1134663",0,0
"1134664",414,642
