CNTYVTD,HallR_18G_State Sen 2,ScudderD_18G_State Sen 2
"1131045",137,638
"1131046",55,136
"1131047",224,526
"1131048",879,1009
"1131050",46,58
"1131051",61,91
"1131052",782,1474
"1131054",168,566
"1131055",94,263
"1131056",218,344
"1131057",266,759
"1131058",350,838
"1131059",484,619
"1131060",1175,1910
"1131061",320,631
"1131062",7,10
"1131063",207,626
"1131067",2,3
"1131068",13,16
"1131071A",500,1251
"1131071B",0,0
"1131075A",257,804
"1131075B",0,0
"1131076",453,951
"1131079",282,717
"1131081",532,1260
"1131099",3,17
"1131105",3,19
"1131106",19,90
"1131107",59,259
"1131108",151,848
"1131109",39,148
"1131110",0,12
"1131111",86,453
"1131115",165,551
"1131116",208,474
"1131121",231,770
"1131125",312,571
"1131129",5,48
"1131133",102,133
"1131136",0,2
"1131137",7,12
"1131139",2,3
"1131141A",0,0
"1131141B",0,0
"1131300",573,712
"1131301",544,760
"1131302",444,773
"1131304",342,442
"1131305",292,436
"1131308A",315,538
"1131308B",0,0
"1131309",9,113
"1131310",566,811
"1131311",621,677
"1131312",223,253
"1131313",29,147
"1131314",320,728
"1131315",5,3
"1131316",86,250
"1131317",0,0
"1131709",372,1314
"1131713",315,253
"1131714",451,544
"1131715",193,511
"1131716",839,552
"1131717",655,1045
"1131718",466,396
"1131719",482,867
"1131720",661,876
"1131721",639,643
"1131722",474,957
"1131723",25,61
"1131724",10,43
"1131725",207,127
"1131726",454,551
"1131729",230,503
"1132065",651,1073
"1132073",285,464
"1132713",801,417
"1132714",1119,1455
"1133013",65,228
"1133014",273,508
"1133015",41,65
"1133030",3,6
"1133031",68,196
"1133079",84,164
"1133080",151,384
"1133083",165,462
"1133087",0,0
"1133093",0,9
"1133300",772,798
"1133301",784,778
"1133302",375,450
"1133303",433,942
"1133304",713,797
"1133305",976,1229
"1133306",310,452
"1133307",315,577
"1133308",374,567
"1133309",524,676
"1133310",614,655
"1133311",592,598
"1133312",764,1082
"1133313",891,2024
"1133314",668,1476
"1133315",240,437
"1133316",631,878
"1133317",287,693
"1133318",334,559
"1133400",53,255
"1133401",1,1
"1133402",47,131
"1133404",269,677
"1133405",403,967
"1133406",14,3
"1133407",90,87
"1133408",211,660
"1133409",85,192
"1133410",41,96
"1133411",1,1
"1133500",2104,1073
"1133501",5,1
"1133700",864,1389
"1133701",950,1291
"1133702",578,750
"1133703",24,10
"1133920",699,491
"1133921",963,1083
"1133922",5,34
"1190001",379,75
"1190003",160,58
"1190004",228,54
"1190005",338,85
"1190007",122,23
"1190009",149,19
"1190010",174,57
"1470001",528,147
"1470002",597,83
"1470003",231,92
"1470004",498,182
"1470005",260,53
"1470006",330,65
"1470007",232,53
"1470009",436,91
"1470010",1072,236
"1470011",1112,209
"1470012",574,91
"1470013",349,80
"1470015",415,56
"1470016",163,31
"1470018",1141,327
"1470019",677,239
"2230001",885,310
"2230002",504,230
"2230003",610,296
"2230004",583,144
"2230005",227,42
"2230008",125,29
"2230011",332,93
"2230012",153,25
"2230013",359,99
"2230014",443,92
"2230016",517,103
"2230017",510,144
"223001A",690,255
"2230020",290,44
"2230023",131,20
"2230024",341,69
"2230025",171,29
"223002A",295,297
"2230036",428,68
"223003A",636,217
"223004A",697,266
"2310101",482,80
"2310102",545,131
"2310103",355,56
"2310104",457,99
"2310105",227,134
"2310106",526,306
"2310107",1029,482
"2310108",456,280
"2310109",545,131
"2310210",285,90
"2310211",292,80
"2310212",424,202
"2310213",455,65
"2310214",1265,262
"2310215",2276,552
"2310216",976,229
"2310217",766,150
"2310318",343,51
"2310319",789,141
"2310320",838,194
"2310321",536,133
"2310322",364,89
"2310323",1236,273
"2310324",932,291
"2310325",1203,356
"2310426",185,77
"2310427",591,708
"2310428",573,487
"2310429",184,78
"2310430",189,89
"2310431",188,83
"2310432",349,45
"2310433",227,598
"2310434",609,134
"2570001",864,477
"2570002",519,153
"2570003",1758,785
"2570004",1851,634
"2570005",290,687
"2570006",917,210
"2570007",1692,1225
"2570008",549,388
"2570009",731,203
"2570010",1107,223
"2570011",802,325
"2570012",794,148
"2570013",951,731
"2570014",1165,744
"2570015",1143,225
"2570016",1244,228
"2570017",924,167
"2570018",959,243
"2570019",943,417
"2570020",578,185
"2570021",952,195
"2570022",561,115
"2570023",455,137
"2570024",541,217
"2570025",278,178
"2570026",137,469
"2570027",1447,657
"2570028",629,165
"2570029",810,958
"2570030",723,185
"3790101",609,77
"3790102",316,75
"3790203",732,105
"3790204",306,43
"3790305",441,85
"3790306",414,139
"3790407",472,79
"3790408",393,80
"3970001",2304,1001
"3970002",1881,739
"3970003",139,135
"3970004",1186,332
"397001A",1382,743
"397001B",2699,934
"397001C",1571,525
"397002A",1818,887
"397002B",763,405
"397002C",2660,754
"397003A",350,383
"397003B",984,712
"397003C",1496,339
"397003D",3116,912
"397004A",2969,1525
"397004B",539,269
"397004C",1295,478
"467001A",705,133
"467001B",1153,221
"467001C",690,96
"467001D",509,116
"467001E",272,117
"467002A",1411,264
"467002B",710,105
"467002C",1019,130
"467002D",823,145
"467003A",443,100
"467003B",534,197
"467003C",1176,276
"467003D",1213,227
"467004A",597,127
"467004B",768,141
"467004C",730,137
"467004D",1438,272
"467004E",537,104
